caption;link;year;km;color;price;price_unit;date;city;district
1;OTOMATİK TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-otomatik-toyota-avensis-874862698/detay;2003;312000;Siyah;84700;TL;2020-10-30;Sakarya;Kocaali
2;AVENSİS ELEGANT;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-avensis-elegant-866730834/detay;2004;151000;Bordo;94500;TL;2020-10-29;Eskişehir;Tepebaşı
3;Evrenler otomotivden tertemiz orjinal 97000 km de;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-evrenler-otomotivden-tertemiz-orjinal-97000-km-de-866622432/detay;2006;97000;Gri;97500;TL;2020-10-29;Balıkesir;Altıeylül
4;2004 MODEL TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2004-model-toyota-avensis-874836135/detay;2004;201000;Gümüş Gri;89500;TL;2020-10-29;İzmir;Tire
5;AVENSİS 1.6 COMFORT;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-avensis-1.6-comfort-853727053/detay;2005;155000;Gümüş Gri;120000;TL;2020-10-29;Kırıkkale;Yahşihan
6;SAHİBİNDEN;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-874834973/detay;2006;2e+05;Gümüş Gri;94500;TL;2020-10-29;Ankara;Altındağ
7;MEMURDAN HATASIZ BOYASIZ TRAMERSIZ TERTEMIZ AVENSIS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-memurdan-hatasiz-boyasiz-tramersiz-tertemiz-avensis-874813665/detay;2016;46000;Beyaz;225000;TL;2020-10-29;İstanbul;Küçükçekmece
8;orjinal 1 parça boyalı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-orjinal-1-parca-boyali-874805874/detay;2011;199800;Siyah;131500;TL;2020-10-29;Gaziantep;Şahinbey
9;Temiz sahibinden 128.000 km;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-sahibinden-128.000-km-874794694/detay;2010;127775;Gri;133000;TL;2020-10-29;İstanbul;Pendik
10;TUTARLI OTOMOTİVDE 2010 Toyota 1.6 benzinli;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tutarli-otomotivde-2010-toyota-1.6-benzinli-874782698/detay;2010;158000;Gümüş Gri;115000;TL;2020-10-29;Van;Edremit
11;Satılık avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-satilik-avensis-837053565/detay;2010;260000;Siyah;125000;TL;2020-10-29;Rize;Merkez
12;1+0 Stüdyo daire;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-1-plus0-studyo-daire-874758204/detay;2013;113000;Beyaz;165750;TL;2020-10-29;Erzurum;Palandöken
13;ORJİNAL AİLE ARABASI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-orjinal-aile-arabasi-874756332/detay;2007;182448;Gri;118750;TL;2020-10-29;Adana;Seyhan
14;DOĞAN İLETİŞİM AUTO 2011 TOYOTA AVENSIS 1.6 BNZ LPG ELEGENT HATZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-dogan-iletisim-auto-2011-toyota-avensis-1.6-bnz-lpg-elegent-hatz-874749094/detay;2011;171000;Siyah;126750;TL;2020-10-29;Hakkari;Yüksekova
15;2004 TOYOTA AVENSİS 2.0 ELEGANT / İÇ DIŞ BEJ / SIRALI LPG / FULL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2004-toyota-avensis-2.0-elegant-ic-dis-bej-sirali-lpg-full-864446204/detay;2004;310000;Bej;78000;TL;2020-10-29;Denizli;Merkezefendi
16;değişensiz AVENSİS premium 23 10 2022 gecerli yeni muayene;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-degisensiz-avensis-premium-23-10-2022-gecerli-yeni-muayene-836281785/detay;2009;252940;Siyah;120000;TL;2020-10-29;İstanbul;Avcılar
17;TEMİZ BAKIMLI FULL AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-bakimli-full-avensis-874727911/detay;2006;305000;Füme;87750;TL;2020-10-29;İzmir;Dikili
18;2007 TOYOTA AVENSİS FULL+FULL ELEGANT;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2007-toyota-avensis-full-plusfull-elegant-865488382/detay;2007;405000;Beyaz;82500;TL;2020-10-29;Mardin;Kızıltepe
19;satılık tank;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-satilik-tank-874699047/detay;2008;163700;Gümüş Gri;70000;TL;2020-10-29;Eskişehir;Odunpazarı
20;TAM BİR AİLE VE YAKIT CİMRİSİ / ÖZEL PLAKALI AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tam-bir-aile-ve-yakit-cimrisi-ozel-plakali-avensis-874690843/detay;1998;275000;Gümüş Gri;55500;TL;2020-10-29;Sakarya;Adapazarı
21;ÖZEL PLAKALI AMİRAL GEMİSİ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ozel-plakali-amiral-gemisi-860817737/detay;2012;115000;Beyaz;145250;TL;2020-10-29;Ankara;Çankaya
22;Toyota Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-avensis-874619689/detay;2003;212;Siyah;73000;TL;2020-10-29;Mardin;Artuklu
23;2006 Toyota Avensis Sorunsuz Araç;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2006-toyota-avensis-sorunsuz-arac-874610895/detay;2006;205000;Gümüş Gri;87500;TL;2020-10-28;Erzurum;Aziziye
