caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;MLH-S LİNE-CAM TAVAN-GERİ GÖRÜŞ-XENON-BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-mlh-s-line-cam-tavan-geri-gorus-xenon-boyasiz-864448947/detay;2015;105000;Siyah;310000;TL;2020-11-01;Düzce;Akçakoca;Audi;A3
2;Düşük kilometreli sorunsuz;https://www.sahibinden.com/ilan/vasita-otomobil-audi-dusuk-kilometreli-sorunsuz-875098006/detay;2017;48000;Beyaz;235000;TL;2020-10-31;Adana;Seyhan;Audi;A3
3;Sahibinden Tertemiz 2020 1.5 A3+ Cam Tavan + Cruise Control;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden-tertemiz-2020-1.5-a3-plus-cam-tavan-plus-cruise-control-866982505/detay;2020;13000;Gri;359000;TL;2020-10-30;Ankara;Gölbaşı;Audi;A3
4;SIFIR KM A3 35 TFSI CAM TVN+KAYAR LED+F1+LED+K­EYLESGO+KAT AYNA;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sifir-km-a3-35-tfsi-cam-tvn-pluskayar-led-plusf1-plusled-pluskeylesgo-pluskat-ayna-874896404/detay;2020;0;Lacivert;354950;TL;2020-10-30;İstanbul;Bağcılar;Audi;A3
5;Sahibinden90F­avoriHATASIZ BOYASIZ TRAMERSIZ Sunroof/Recaro/3Kol;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden90favorihatasiz-boyasiz-tramersiz-sunroof-recaro-3kol-873723824/detay;2015;1e+05;Siyah;3e+05;TL;2020-10-29;Kocaeli;Kandıra;Audi;A3
6;HATASZ 2012(2013ÇIKIŞ)YENİ BAYİ A3 1.6TDİ/S/CAMTAV­N/7İLERİ/EKRAN;https://www.sahibinden.com/ilan/vasita-otomobil-audi-hatasz-2012-2013cikis-yeni-bayi-a3-1.6tdi-s-camtavn-7ileri-ekran-874809430/detay;2012;182000;Beyaz;198000;TL;2020-10-29;Aydın;Didim;Audi;A3
7;GALERİ KARADUMAN-A3 2013 1.6 TDİ DSG YENİ KASA DEĞİŞENSİZ DÜZGÜN;https://www.sahibinden.com/ilan/vasita-otomobil-audi-galeri-karaduman-a3-2013-1.6-tdi-dsg-yeni-kasa-degisensiz-duzgun-839825133/detay;2013;169000;Siyah;204000;TL;2020-10-29;Sakarya;Hendek;Audi;A3
8;8 BİN KM SUNROF+CAM TVN+ZENON KAYAR LED+F-1 VİTES KT AYNA BOYASZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-8-bin-km-sunrof-pluscam-tvn-pluszenon-kayar-led-plusf-1-vites-kt-ayna-boyasz-874784513/detay;2020;8000;Lacivert;348500;TL;2020-10-29;İstanbul;Esenyurt;Audi;A3
9;BOYASIZ 2014 A3 SPORTBACK 1.6 TDİ OTOMATİK AMBİENTE 17 JANT PAKT;https://www.sahibinden.com/ilan/vasita-otomobil-audi-boyasiz-2014-a3-sportback-1.6-tdi-otomatik-ambiente-17-jant-pakt-873756712/detay;2014;41000;Beyaz;279900;TL;2020-10-29;İstanbul;Bahçelievler;Audi;A3
10;2017 MODEL SIFIR AYARINDA TEMİZ AZ KULLANILMIŞ A3 1.0 TFSI;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2017-model-sifir-ayarinda-temiz-az-kullanilmis-a3-1.0-tfsi-874521136/detay;2017;25000;Füme;275500;TL;2020-10-28;İstanbul;Beylikdüzü;Audi;A3
