caption;link;year;km;color;price;price_unit;date;city;district
1;Sahibinden hasar kayıtsız degişensiz bakımlı araç;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden-hasar-kayitsiz-degisensiz-bakimli-arac-874809209/detay;2012;160000;Siyah;4e+05;TL;2020-10-29;İstanbul;Ataşehir
2;SAHİBİNDEN 2017 ÇIKIŞLI A4 QUATTRO 4X4 190 BG FULLL+FULLLLLLLLLL;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden-2017-cikisli-a4-quattro-4x4-190-bg-fulll-plusfullllllllll-874800521/detay;2016;112000;Siyah;437500;TL;2020-10-29;İstanbul;Kartal
3;2014 AUDİ A4 150 Hp Sunrof+Deriklt­k+Isıtma+HızSb­tlm+Led+17Jant;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2014-audi-a4-150-hp-sunrof-plusderikltk-plusisitma-plushizsbtlm-plusled-plus17jant-868840876/detay;2014;150000;Beyaz;315500;TL;2020-10-29;Adıyaman;Merkez
4;Yüksel Otomotivden Quattro Sport Özel Seri Araç;https://www.sahibinden.com/ilan/vasita-otomobil-audi-yuksel-otomotivden-quattro-sport-ozel-seri-arac-864482718/detay;2016;96000;Kahverengi;519000;TL;2020-10-28;İstanbul;Bağcılar
5;2012 SAHİBİNDEN AUDİ A4 177BG DEĞİŞENSİZ ÇOK TEMİZ DERİ KOLTUK;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2012-sahibinden-audi-a4-177bg-degisensiz-cok-temiz-deri-koltuk-874423445/detay;2012;204800;Mavi;256000;TL;2020-10-28;İstanbul;Beyoğlu
6;HATASIZ 2015(2016ÇIKIŞ)YENİ A4 2.0TDİ/S/BAYİ/SUN­RUF/8İLERİ/EKRAN;https://www.sahibinden.com/ilan/vasita-otomobil-audi-hatasiz-2015-2016cikis-yeni-a4-2.0tdi-s-bayi-sunruf-8ileri-ekran-874399458/detay;2015;191000;Beyaz;319000;TL;2020-10-27;Aydın;Didim
7;Yüksel Otomotiv'den A4 Sport Hayalet Gösterge Navigasyon;https://www.sahibinden.com/ilan/vasita-otomobil-audi-yuksel-otomotiv-den-a4-sport-hayalet-gosterge-navigasyon-865260518/detay;2016;120000;Gri;475000;TL;2020-10-27;İstanbul;Bağcılar
8;audi a4 2011 model;https://www.sahibinden.com/ilan/vasita-otomobil-audi-audi-a4-2011-model-874295403/detay;2011;187000;Siyah;170000;TL;2020-10-27;Mersin;Akdeniz
9;SUNROOF 161 BIN KM MASRAFSIZ 2015 ÇIKIŞLI;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sunroof-161-bin-km-masrafsiz-2015-cikisli-874288324/detay;2014;161000;Beyaz;234999;TL;2020-10-27;Adana;Kozan
10;BEDİRHAN OTO'DAN 2012 MODEL AUDİ A4 2.0 TDI 177 HP YENİ KASA;https://www.sahibinden.com/ilan/vasita-otomobil-audi-bedirhan-oto-dan-2012-model-audi-a4-2.0-tdi-177-hp-yeni-kasa-874148921/detay;2012;233000;Beyaz;237750;TL;2020-10-26;Konya;Karatay
11;PİRANLAR 2020 AUDİ A4 2.0 TDI ADVANCED MATRİX LANSMAN RENGİ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-piranlar-2020-audi-a4-2.0-tdi-advanced-matrix-lansman-rengi-854046386/detay;2020;606;Lacivert;643500;TL;2020-10-26;Kocaeli;Gebze
12;İLK SAHİBİNDEN BOYASIZ 55.000 KMDE SUNROOF-DERİ -ISITMA-LED FULL;https://www.sahibinden.com/ilan/vasita-otomobil-audi-ilk-sahibinden-boyasiz-55.000-kmde-sunroof-deri-isitma-led-full-873946477/detay;2012;55000;Beyaz;335000;TL;2020-10-25;İstanbul;Sancaktepe
13;FIRAT OTOMOTİV DEN 2016 A4 1.4TFSI DYNAMIC SADECE 77.000KM DE;https://www.sahibinden.com/ilan/vasita-otomobil-audi-firat-otomotiv-den-2016-a4-1.4tfsi-dynamic-sadece-77.000km-de-873773097/detay;2016;77000;Beyaz;342500;TL;2020-10-24;İstanbul;Üsküdar
14;149.000 KM+AUDİ A4 2.0 TDİ+BOYASIZ*­TRAMERSİZ*3 KOL+YENİ KASA;https://www.sahibinden.com/ilan/vasita-otomobil-audi-149.000-km-plusaudi-a4-2.0-tdi-plusboyasiz-tramersiz-3-kol-plusyeni-kasa-872330320/detay;2009;149000;Füme;223750;TL;2020-10-24;Osmaniye;Merkez
15;HAYALET EKRAN-NAVİGAYON-SU­NROOF-QUATTRO-AUDİ A4 2.0 TDİ 190 HP;https://www.sahibinden.com/ilan/vasita-otomobil-audi-hayalet-ekran-navigayon-sunroof-quattro-audi-a4-2.0-tdi-190-hp-873557529/detay;2016;78000;Lacivert;459500;TL;2020-10-23;İzmir;Gaziemir
16;%18 KDV MATRİXFAR KAYARLED KOLTUK ISITMA 190HP A4 NERGİSOTOMOTİV;https://www.sahibinden.com/ilan/vasita-otomobil-audi-18-kdv-matrixfar-kayarled-koltuk-isitma-190hp-a4-nergisotomotiv-873471963/detay;2017;72000;Beyaz;454950;TL;2020-10-23;İstanbul;Bağcılar
17;SUNROOFLU HATASIZ 60 BİNDE BAYİİ ÇIKIŞL MATRIXFAR NERGİSOTOMOTİV;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sunrooflu-hatasiz-60-binde-bayii-cikisl-matrixfar-nergisotomotiv-873100926/detay;2017;60000;Beyaz;488950;TL;2020-10-21;İstanbul;Bağcılar
18;ÖZEL SİPARİŞ MATRIX FAR ELEKTRİKLİ HAFIZALI KOLTUK TABA;https://www.sahibinden.com/ilan/vasita-otomobil-audi-ozel-siparis-matrix-far-elektrikli-hafizali-koltuk-taba-872596055/detay;2018;32611;Siyah;515000;TL;2020-10-20;İstanbul;Başakşehir
19;BOYASIZ TRAMERSİZ 2019 A4 2.0TDİ 190HP QUATRRO 28BİNKM SUNROOF;https://www.sahibinden.com/ilan/vasita-otomobil-audi-boyasiz-tramersiz-2019-a4-2.0tdi-190hp-quatrro-28binkm-sunroof-872575453/detay;2019;28000;Siyah;639999;TL;2020-10-20;Ankara;Akyurt
20;S GARAGE den 2015 model 106 bin kmde AUDİ A 4 2.0TDI QUATTRO;https://www.sahibinden.com/ilan/vasita-otomobil-audi-s-garage-den-2015-model-106-bin-kmde-audi-a-4-2.0tdi-quattro-863076073/detay;2015;106000;Beyaz;335000;TL;2020-10-19;Sivas;Merkez
21;SUAR MOTORS' TAN 2016 AUDİ A4 DYNAMIC S-TRONIC SUNROOF HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-suar-motors-tan-2016-audi-a4-dynamic-s-tronic-sunroof-hatasiz-862495813/detay;2016;105000;Beyaz;375000;TL;2020-10-18;İstanbul;Üsküdar
22;AYKUTOĞLU 2019 AUDİ A4 QUATTRO DESİGN HATASIZ BOYASIZ 12.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-audi-aykutoglu-2019-audi-a4-quattro-design-hatasiz-boyasiz-12.000-km-862081406/detay;2019;12000;Beyaz;638000;TL;2020-10-17;İstanbul;Eyüpsultan
23;2012 AUDI A4 SUNROOF/OTOM­ATİK/DİZEL/ DEĞİŞENSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2012-audi-a4-sunroof-otomatik-dizel-degisensiz-871650619/detay;2012;255000;Siyah;221500;TL;2020-10-16;İstanbul;Maltepe
24;NASIR AUTO'DAN HATASIZ-BOYASIZ A4;https://www.sahibinden.com/ilan/vasita-otomobil-audi-nasir-auto-dan-hatasiz-boyasiz-a4-869226960/detay;2016;178000;Siyah;428000;TL;2020-10-07;Batman;Merkez
25;Caretta'dan Sunroof,Deri,Hafıza 2.0 TDI 190 Ps Quattro A4 Sport;https://www.sahibinden.com/ilan/vasita-otomobil-audi-caretta-dan-sunroof%2Cderi%2Chafiza-2.0-tdi-190-ps-quattro-a4-sport-847153057/detay;2016;86000;Siyah;484900;TL;2020-10-06;İstanbul;Ataşehir
26;2016 AUDİ A4 Avant 2.0 TDI Quattro Sport 4x4 cam tavan-recaro kl;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2016-audi-a4-avant-2.0-tdi-quattro-sport-4x4-cam-tavan-recaro-kl-875101978/detay;2016;109000;Siyah;489900;TL;2020-10-31;İstanbul;Esenyurt
27;Emsalsiz temizlikte;https://www.sahibinden.com/ilan/vasita-otomobil-audi-emsalsiz-temizlikte-875101589/detay;2011;160000;Beyaz;275000;TL;2020-10-31;Batman;Merkez
28;ONURSTAR'dan Audı A4 Sedan 40 TDI Advanced S-Tronic 2020 SIFIR;https://www.sahibinden.com/ilan/vasita-otomobil-audi-onurstar-dan-audi-a4-sedan-40-tdi-advanced-s-tronic-2020-sifir-867296948/detay;2020;0;Siyah;695000;TL;2020-10-31;Diyarbakır;Kayapınar
29;2013 Audi A4 quattro katlanır ayna;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2013-audi-a4-quattro-katlanir-ayna-844337683/detay;2013;148000;Beyaz;290000;TL;2020-10-31;Antalya;Manavgat
