caption;link;year;km;color;price;price_unit;date;city;district
1;OPEL ASTRA 2017 MODEL DİZEL OTOMATİK TEMİZ ARAÇ YENİ GİBİ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-astra-2017-model-dizel-otomatik-temiz-arac-yeni-gibi-875141047/detay;2017;135000;Beyaz;159000;TL;2020-10-31;İstanbul;Beylikdüzü
2;OTOMATİK 147.000 de;https://www.sahibinden.com/ilan/vasita-otomobil-opel-otomatik-147.000-de-875121927/detay;2011;148000;Siyah;141500;TL;2020-10-31;Malatya;Yeşilyurt
3;OPEL ASTRA SEDAN SUNRUFF ELİTE EN DOLUSU DİZEL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-astra-sedan-sunruff-elite-en-dolusu-dizel-otomatik-874620173/detay;2017;49000;Mavi;221500;TL;2020-10-30;Ankara;Etimesgut
4;_MY GALLERY_*BOYA­SIZ*OTOMATİK 2016 ASTRA K 1.6CDTİ 136HP KIRMIZI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-my-gallery-boyasiz-otomatik-2016-astra-k-1.6cdti-136hp-kirmizi-862994082/detay;2016;98000;Kırmızı;202950;TL;2020-10-30;Eskişehir;Odunpazarı
5;36 AY TAMAMINA YAKIN KREDİ 2011 OPEL ASTRA 111. YIL 1.6 OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-36-ay-tamamina-yakin-kredi-2011-opel-astra-111-yil-1.6-otomatik-870014887/detay;2011;157000;Siyah;115950;TL;2020-10-30;İstanbul;Bağcılar
6;İlk sahibi bayandan; orijinal, servis bakımlı, sigara içilmemiş;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ilk-sahibi-bayandan-orijinal-servis-bakimli-sigara-icilmemis-866203811/detay;2006;197000;Siyah;86000;TL;2020-10-29;İstanbul;Kadıköy
7;POLATCI Motors dan TEMİZ AZ KİLOMETREDE DİZEL ASTRA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-polatci-motors-dan-temiz-az-kilometrede-dizel-astra-865627683/detay;2016;139000;Siyah;170900;TL;2020-10-28;Şanlıurfa;Haliliye
8;181 favoriye teşekkürler;https://www.sahibinden.com/ilan/vasita-otomobil-opel-181-favoriye-tesekkurler-874168799/detay;2012;82000;Mavi;159000;TL;2020-10-26;İstanbul;Zeytinburnu
9;MY PLAZA - 2017 OPEL ASTRA 1.6 CDTI DESIGN 90BİN KM'DE..;https://www.sahibinden.com/ilan/vasita-otomobil-opel-my-plaza-2017-opel-astra-1.6-cdti-design-90bin-km-de-874162106/detay;2017;90000;Beyaz;180750;TL;2020-10-26;Eskişehir;Odunpazarı
10;2011 MODEL DİZEL OTOMATİK OPEL ASTRA 1.3 CDTI ENJOY PLUS;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2011-model-dizel-otomatik-opel-astra-1.3-cdti-enjoy-plus-874158636/detay;2011;174000;Siyah;118750;TL;2020-10-26;İstanbul;Üsküdar
