caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;2013 Çıkışlı/2022 Muayene/Bakımlı / Audi A1;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2013-cikisli-2022-muayene-bakimli-audi-a1-853070396/detay;2011;120000;Mavi;152500;TL;2020-11-04;İstanbul;Kartal;Audi;A1
2;FATİH OTOMOTİV DEN 2012 MODEL AUDİ A1 1.4 TFSİ AMBİTİON;https://www.sahibinden.com/ilan/vasita-otomobil-audi-fatih-otomotiv-den-2012-model-audi-a1-1.4-tfsi-ambition-875876741/detay;2012;78968;Kırmızı;197500;TL;2020-11-04;İstanbul;Bağcılar;Audi;A1
3;KAYA MOTORS' AUDİ A1 %30 PEŞİN 12/18/24/36/48 AY TAKSİT;https://www.sahibinden.com/ilan/vasita-otomobil-audi-kaya-motors-audi-a1-30-pesin-12-18-24-36-48-ay-taksit-875910819/detay;2018;15900;Gümüş Gri;298500;TL;2020-11-04;İstanbul;Bağcılar;Audi;A1
4;ÇAĞDAŞ MOTORS'DAN AUDİ A1 OTOMATİK S TRONİC;https://www.sahibinden.com/ilan/vasita-otomobil-audi-cagdas-motors-dan-audi-a1-otomatik-s-tronic-868513154/detay;2012;143000;Beyaz;163000;TL;2020-11-04;Adana;Sarıçam;Audi;A1
5;AUDİ A1 2012 MODEL 1.6 TDI ATTRACTİON S-TRONİC SPORTBACK;https://www.sahibinden.com/ilan/vasita-otomobil-audi-audi-a1-2012-model-1.6-tdi-attraction-s-tronic-sportback-871510018/detay;2012;131000;Kırmızı;164500;TL;2020-11-03;Nevşehir;Merkez;Audi;A1
6;2012 model A1 1.6 dizel S-tronic;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2012-model-a1-1.6-dizel-s-tronic-875736627/detay;2012;111000;Beyaz;171900;TL;2020-11-03;İstanbul;Küçükçekmece;Audi;A1
7;SAHİBİNDEN 2011 AUDI A1 SPORTPACK 1.4 TFSI S-TRONIC;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden-2011-audi-a1-sportpack-1.4-tfsi-s-tronic-875727830/detay;2011;119000;Füme;152000;TL;2020-11-03;İstanbul;Çekmeköy;Audi;A1
8;Kırmızı bebek satışta;https://www.sahibinden.com/ilan/vasita-otomobil-audi-kirmizi-bebek-satista-875626813/detay;2012;113500;Kırmızı;145000;TL;2020-11-03;İstanbul;Tuzla;Audi;A1
9;SADECE 90 BİN KMDE 2011 A1 1.4 TFSİ 122 PS DSG OTOMATİK VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sadece-90-bin-kmde-2011-a1-1.4-tfsi-122-ps-dsg-otomatik-vites-875630544/detay;2011;90000;Beyaz;153700;TL;2020-11-03;İzmir;Buca;Audi;A1
10;DURMUŞLARDAN 2011 AUDİ A1 SPORTPACK 1.4 TFSI S-TRONIC;https://www.sahibinden.com/ilan/vasita-otomobil-audi-durmuslardan-2011-audi-a1-sportpack-1.4-tfsi-s-tronic-843032258/detay;2011;72000;Beyaz;157000;TL;2020-11-02;Hatay;Antakya;Audi;A1
