caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;SKODA BAYII'den 2015 AURİS OTOMATİK-CAM TAVAN-HATASI­Z-24.000'KM;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-skoda-bayii-den-2015-auris-otomatik-cam-tavan-hatasiz-24.000-km-875095503/detay;2015;24825;Mavi;198000;TL;2020-10-31;Tekirdağ;Süleymanpaşa;Toyota;Auris
2;2014 TOYOTA AURİS 1.4D-4D SKYPACK CAM TAVANLI 48 AY KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2014-toyota-auris-1.4d-4d-skypack-cam-tavanli-48-ay-kredi-imkani-858830007/detay;2014;88000;Kahverengi;151950;TL;2020-10-30;İstanbul;Bağcılar;Toyota;Auris
3;2011 TOYOTA AURİS ( senetle taksitlendirme seçenegimiz vardır );https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2011-toyota-auris-senetle-taksitlendirme-secenegimiz-vardir-874731460/detay;2011;127000;Gümüş Gri;133750;TL;2020-10-29;İstanbul;Üsküdar;Toyota;Auris
4;En Ucuz ! Değişensiz Hasar Kayıtsız;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-en-ucuz-degisensiz-hasar-kayitsiz-874515414/detay;2011;185000;Siyah;119000;TL;2020-10-28;İstanbul;Eyüpsultan;Toyota;Auris
5;sahibinden auris evin 3. arabasıdır;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-auris-evin-3-arabasidir-873891561/detay;2012;74600;Gri;104750;TL;2020-10-25;Burdur;Merkez;Toyota;Auris
6;2015 AURİS 1.4 D-4D ACTİVE OTOMATİK VİTES ANINDA KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2015-auris-1.4-d-4d-active-otomatik-vites-aninda-kredi-imkani-872905837/detay;2015;70000;Beyaz;173500;TL;2020-10-21;Kocaeli;Gebze;Toyota;Auris
7;MERTLER'DEN | TOYOTA AURİS 1.4 D-4D DİZEL | TEMİZ | DEĞİŞENSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-mertler-den-toyota-auris-1.4-d-4d-dizel-temiz-degisensiz-871892492/detay;2008;282000;Füme;92750;TL;2020-10-17;Ankara;Yenimahalle;Toyota;Auris
8;Toyota Auris 1.33 Life Orjinal Hatasız Boyasız;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-auris-1.33-life-orjinal-hatasiz-boyasiz-867255843/detay;2015;46000;Kırmızı;144750;TL;2020-10-31;Edirne;Uzunköprü;Toyota;Auris
9;Garantisi devam ediyor;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-garantisi-devam-ediyor-875000745/detay;2012;126500;Gri;149000;TL;2020-10-31;Ankara;Çankaya;Toyota;Auris
10;2013 İLK SAHİBİNDEN DİZEL OTOMATİK CAM TAVAN F1 VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2013-ilk-sahibinden-dizel-otomatik-cam-tavan-f1-vites-875083781/detay;2013;205000;Bej;142900;TL;2020-10-31;Ankara;Çubuk;Toyota;Auris
11;Temiz elegant paket;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-elegant-paket-862215874/detay;2009;67000;Siyah;124500;TL;2020-10-31;Sivas;Merkez;Toyota;Auris
12;MEMURDAN TERTEMİZ DEĞİŞENSİZ AURİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-memurdan-tertemiz-degisensiz-auris-875073827/detay;2009;270500;Gümüş Gri;89000;TL;2020-10-31;Mardin;Nusaybin;Toyota;Auris
13;50.000 KM DE İLK EL BOYASIZ SIFIR AYARINDA AURİS 1.4 D-4D;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-50.000-km-de-ilk-el-boyasiz-sifir-ayarinda-auris-1.4-d-4d-608765308/detay;2014;50000;Gümüş Gri;166900;TL;2020-10-31;Malatya;Yeşilyurt;Toyota;Auris
14;THY PERSONELİNDEN;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-thy-personelinden-875025643/detay;2009;135500;Gümüş Gri;119000;TL;2020-10-31;İstanbul;Eyüpsultan;Toyota;Auris
15;!! 86 bin kmde DEĞİŞENSİZ ORJİNAL TOYOTA AURİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-86-bin-kmde-degisensiz-orjinal-toyota-auris-864552724/detay;2007;86000;Siyah;103000;TL;2020-10-31;Eskişehir;Tepebaşı;Toyota;Auris
16;SAHİBİNDEN HATASIZ BOYASIZ DİZEL OTOMATİK CAM TAVAN FULL AURİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-hatasiz-boyasiz-dizel-otomatik-cam-tavan-full-auris-874923790/detay;2013;110000;Beyaz;172500;TL;2020-10-31;Diyarbakır;Kayapınar;Toyota;Auris
17;USTAM EMLAK OTOMTIV DEN;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ustam-emlak-otomtiv-den-866720069/detay;2013;155000;Gri;136750;TL;2020-10-31;İstanbul;Başakşehir;Toyota;Auris
18;TAYFUN'DAN 2013 AZ KM OTOMATİK AKTİVE SKYPACK;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tayfun-dan-2013-az-km-otomatik-aktive-skypack-867093470/detay;2013;69000;Beyaz;172000;TL;2020-10-30;Çorum;Merkez;Toyota;Auris
19;tramersiz değişensiz temiz otomatik auris;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tramersiz-degisensiz-temiz-otomatik-auris-874903448/detay;2010;127000;Gri;146000;TL;2020-10-30;Amasya;Merkez;Toyota;Auris
20;Kazasız Bakımlı Memurdan düşük kml;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-kazasiz-bakimli-memurdan-dusuk-kml-875013708/detay;2011;61000;Siyah;140000;TL;2020-10-30;Gaziantep;Şehitkamil;Toyota;Auris
21;ASKERİ PERSONELDEN TEMİZ AİLE ARABASI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-askeri-personelden-temiz-aile-arabasi-874960841/detay;2012;138200;Gümüş Gri;126500;TL;2020-10-30;Ankara;Çankaya;Toyota;Auris
22;HATASIZ 2011 MODEL TOYOTA AURİS COMFORT EXTRA - DİZEL MANUEL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz-2011-model-toyota-auris-comfort-extra-dizel-manuel-867110228/detay;2011;99000;Gri;126500;TL;2020-10-30;Antalya;Muratpaşa;Toyota;Auris
23;SAHİBİNDEN SATILIK 2011 AURİS COMFORT EXTRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-satilik-2011-auris-comfort-extra-874951083/detay;2011;137000;Gümüş Gri;139650;TL;2020-10-30;İstanbul;Ümraniye;Toyota;Auris
24;125 km'de 2012 model Toyota Auris;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-125-km-de-2012-model-toyota-auris-875005788/detay;2012;125000;Füme;115000;TL;2020-10-30;İstanbul;Avcılar;Toyota;Auris
25;2011 TOYOTA AURİS 1.4 4D 111Bin KM 6 İleri;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2011-toyota-auris-1.4-4d-111bin-km-6-ileri-875006171/detay;2011;111250;Beyaz;125000;TL;2020-10-30;İzmir;Bergama;Toyota;Auris
26;PAZARLİK ADABINCA ️SERVİS BAKİMLİ AURİS ELEGANT DİESEL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-pazarlik-adabinca-servis-bakimli-auris-elegant-diesel-873092506/detay;2008;127500;Siyah;89000;TL;2020-10-30;Kocaeli;Çayırova;Toyota;Auris
27;%1.94 VADEORANI %35PEŞİN 48 AY SENETLE DÜZGÜNTİCARET BÜNYEMİZDE;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-1.94-vadeorani-35pesin-48-ay-senetle-duzgunticaret-bunyemizde-867064291/detay;2015;99000;Beyaz;171900;TL;2020-10-30;İstanbul;Bağcılar;Toyota;Auris
28;2010 TOYOTA AURİS 1.6 TAM OTOMATİK MAKYAJLI KASA HATASIZ..;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2010-toyota-auris-1.6-tam-otomatik-makyajli-kasa-hatasiz-867035237/detay;2010;199000;Siyah;124750;TL;2020-10-30;Osmaniye;Merkez;Toyota;Auris
29;SİNAN AKÇA'dan HATASIZ ORJİNAL 65 KM EKSTRALI AURİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sinan-akca-dan-hatasiz-orjinal-65-km-ekstrali-auris-867047375/detay;2014;65000;Beyaz;136500;TL;2020-10-30;İzmir;Aliağa;Toyota;Auris
30;SAHİBİNDEN TEMİZ AİLE ARABASI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-temiz-aile-arabasi-859510093/detay;2008;145000;Gri;102500;TL;2020-10-30;İstanbul;Kağıthane;Toyota;Auris
31;"Sadece 36.000 km'de 2016 model cam tavanlı otomatik Auris";https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sadece-36.000-km-de-2016-model-cam-tavanli-otomatik-auris-864080558/detay;2016;36000;Beyaz;183000;TL;2020-10-30;Eskişehir;Tepebaşı;Toyota;Auris
32;2013 MODEL TOYOTA AURİS 1.4D-4D ADVANCE OTOMATİK VİTES 129.000KM;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2013-model-toyota-auris-1.4d-4d-advance-otomatik-vites-129.000km-771970682/detay;2013;129000;Gri;137500;TL;2020-10-30;Sakarya;Erenler;Toyota;Auris
33;YMR OTOMOTİV AURİS OTOMATİK MAKYAJLI KASA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ymr-otomotiv-auris-otomatik-makyajli-kasa-874991645/detay;2010;137000;Gümüş Gri;142000;TL;2020-10-30;İstanbul;Bağcılar;Toyota;Auris
34;DAHA 16.BİN KMDE KUSURSUZ GÜZELLIKTE/HATASIZ /BOYASIZ/TRAMERSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-daha-16.bin-kmde-kusursuz-guzellikte-hatasiz-boyasiz-tramersiz-869560877/detay;2010;16625;Beyaz;135000;TL;2020-10-30;Aydın;Efeler;Toyota;Auris
35;2016 BOYASIZ LPG Lİ AURİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2016-boyasiz-lpg-li-auris-874989425/detay;2016;41000;Beyaz;146750;TL;2020-10-30;Osmaniye;Merkez;Toyota;Auris
36;O BİRRR TOYOTAAAA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-o-birrr-toyotaaaa-868305872/detay;2016;89500;Mavi;118750;TL;2020-10-30;İstanbul;Küçükçekmece;Toyota;Auris
