caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;MELLON'DAN 2015BMW 5.20 İ PREMIUM HAYALET VAKUM ELEKBAGAJ HATASZ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-mellon-dan-2015bmw-5.20-i-premium-hayalet-vakum-elekbagaj-hatasz-872188032/detay;2015;113656;Füme;404750;TL;2020-11-01;İstanbul;Üsküdar;BMW;5 Serisi
2;ÇOK TEMİZ PROBLEMSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-cok-temiz-problemsiz-872049261/detay;2016;98000;Siyah;401999;TL;2020-11-01;İzmir;Bornova;BMW;5 Serisi
3;Hatasız Tr De Tek 5.20d Premium 2. Sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-hatasiz-tr-de-tek-5.20d-premium-2-sahibinden-875309511/detay;2009;175000;Bej;239750;TL;2020-11-01;İstanbul;Kadıköy;BMW;5 Serisi
4;SAHİBİNDEN BMW 520d M BODY KİT/AÇIKLAMAYI OKUMADAN ARAMAYIN;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-sahibinden-bmw-520d-m-body-kit-aciklamayi-okumadan-aramayin-875306654/detay;2006;297000;Siyah;128900;TL;2020-11-01;İstanbul;Beylikdüzü;BMW;5 Serisi
5;2020 SIFIR ÖZEL SİPARİŞ M5 GÖRÜMLÜ M EDİTİON SHADOW FARLI BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2020-sifir-ozel-siparis-m5-gorumlu-m-edition-shadow-farli-bayi-875281698/detay;2020;0;Mavi;1195000;TL;2020-11-01;Ankara;Çankaya;BMW;5 Serisi
6;Sahibinden sınıf araç;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-sahibinden-sinif-arac-875281151/detay;2011;360000;Füme;240000;TL;2020-11-01;Ankara;Mamak;BMW;5 Serisi
7;MLH-ADAPTİF LED-TABA-20 JANT-NEXT 100-F1 VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-mlh-adaptif-led-taba-20-jant-next-100-f1-vites-874969406/detay;2017;12000;Beyaz;1085000;TL;2020-11-01;Düzce;Akçakoca;BMW;5 Serisi
8;2011 BMW 520d COMFORT 191.000 km;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2011-bmw-520d-comfort-191.000-km-875269530/detay;2011;191000;Siyah;305000;TL;2020-11-01;Aydın;Didim;BMW;5 Serisi
9;2017 BMW 5.20İ M-SPORT FULL -YETKİLİ SERVİS BAKIMLI-EKSTRALI;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2017-bmw-5.20i-m-sport-full-yetkili-servis-bakimli-ekstrali-873234803/detay;2017;87230;Siyah;655000;TL;2020-11-01;İstanbul;Bakırköy;BMW;5 Serisi
10;SAHİBİNDEN BORUSAN ÇIKIŞLI,SERVİS BAKIMLI,TERTEMİZ 520d LCI E60;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-sahibinden-borusan-cikisli%2Cservis-bakimli%2Ctertemiz-520d-lci-e60-874349430/detay;2009;309000;Beyaz;191000;TL;2020-10-31;Kayseri;Melikgazi;BMW;5 Serisi
