caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;TAMER / 2003 TOYOTA CAMRY 3.0;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tamer-2003-toyota-camry-3.0-863824490/detay;2003;176000;Lacivert;119000;TL;2020-11-01;Ankara;Akyurt;Toyota;Camry
2;DENİZ OTOMOTİV'DEN ORJİNAL TOYOTA CAMRY KONFOR ARACI...;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-deniz-otomotiv-den-orjinal-toyota-camry-konfor-araci-867062714/detay;1994;375000;Gri;44750;TL;2020-10-30;Malatya;Battalgazi;Toyota;Camry
3;Sahibinden Bakımları Yapılmış 267.000 Km'de;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-bakimlari-yapilmis-267.000-km-de-874790907/detay;2000;267000;Yeşil;77500;TL;2020-10-29;Kahramanmaraş;Onikişubat;Toyota;Camry
4;2019 CAMRY 2.5 HYBRID PASSION-HEAD UP-JBL-16.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2019-camry-2.5-hybrid-passion-head-up-jbl-16.000-km-870850082/detay;2019;16000;Siyah;810000;TL;2020-10-28;Kahramanmaraş;Onikişubat;Toyota;Camry
5;2004 MODEL 3.0 CAMRY;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2004-model-3.0-camry-874325480/detay;2004;436000;Siyah;107500;TL;2020-10-27;Sakarya;Erenler;Toyota;Camry
6;2005 MODEL TÜRKİYEde TEK HATASIZ EN DOLU PAKET 160.000KM;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2005-model-turkiyede-tek-hatasiz-en-dolu-paket-160.000km-843702587/detay;2005;160000;Gri;119000;TL;2020-10-27;Ankara;Akyurt;Toyota;Camry
7;TOYOTA CAMRY AMERİKAN TOYOTASI ÇOK TEMİZ KONFORLU;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-camry-amerikan-toyotasi-cok-temiz-konforlu-864435574/detay;1996;440000;Yeşil;57000;TL;2020-10-26;Kırıkkale;Merkez;Toyota;Camry
8;SAHİBİNDEN KOLEKSİYONLUK TOYOTA CAMRY 2.2 BOYASIZ-KAZASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-koleksiyonluk-toyota-camry-2.2-boyasiz-kazasiz-872945875/detay;2001;317800;Gri;115000;TL;2020-10-26;İzmir;Konak;Toyota;Camry
9;Sahibinden değişensiz hatasız yer uçağı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-degisensiz-hatasiz-yer-ucagi-873686906/detay;1994;313000;Yeşil;75000;TL;2020-10-24;Sakarya;Erenler;Toyota;Camry
10;inşaatçılar pazarcılar işportacılar sahibinden satılık toyota;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-insaatcilar-pazarcilar-isportacilar-sahibinden-satilik-toyota-842603351/detay;1990;623000;Gri;32500;TL;2020-10-23;Ankara;Yenimahalle;Toyota;Camry
