caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;SAHIBINDEN UYGUN FIYATA MAKAM ARABASI;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-sahibinden-uygun-fiyata-makam-arabasi-875961744/detay;2008;310000;Siyah;53500;TL;2020-11-04;İstanbul;Esenyurt;Chevrolet;Lacetti
2;2010 lacetti 1.6 wtcc;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-2010-lacetti-1.6-wtcc-875944752/detay;2010;124000;Gümüş Gri;78000;TL;2020-11-04;Erzurum;Yakutiye;Chevrolet;Lacetti
3;chevrolet lacetti;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-chevrolet-lacetti-875941786/detay;2004;266500;Beyaz;41500;TL;2020-11-04;İstanbul;Büyükçekmece;Chevrolet;Lacetti
4;Temiz 1.6 16valf lacetti;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-temiz-1.6-16valf-lacetti-875930432/detay;2005;200;Gri;65000;TL;2020-11-04;Ankara;Çankaya;Chevrolet;Lacetti
5;SAHİBİNDEN OTOMATİK VİTES LACETTI;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-sahibinden-otomatik-vites-lacetti-852643950/detay;2006;166000;Siyah;70000;TL;2020-11-04;İstanbul;Esenyurt;Chevrolet;Lacetti
6;Temiz Lacetti;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-temiz-lacetti-875867866/detay;2005;185000;Kırmızı;75000;TL;2020-11-04;İstanbul;Başakşehir;Chevrolet;Lacetti
7;masrafsız temiz aracımı satıyorum;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-masrafsiz-temiz-aracimi-satiyorum-843392496/detay;2006;145000;Siyah;67000;TL;2020-11-03;İstanbul;Küçükçekmece;Chevrolet;Lacetti
8;Memurdan Düşük Km'li Temiz Araç;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-memurdan-dusuk-km-li-temiz-arac-875762087/detay;2011;82675;Gri;77950;TL;2020-11-03;Tunceli;Hozat;Chevrolet;Lacetti
9;pazarlık var;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-pazarlik-var-875778556/detay;2005;148000;Gri;55000;TL;2020-11-03;Şanlıurfa;Haliliye;Chevrolet;Lacetti
10;Lacetti 1.4 sedan kasa;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-lacetti-1.4-sedan-kasa-875771515/detay;2006;280000;Beyaz;49999;TL;2020-11-03;Şanlıurfa;Siverek;Chevrolet;Lacetti
11;Karavaylar otomotiv den satılık 2008 lacieti;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-karavaylar-otomotiv-den-satilik-2008-lacieti-875743072/detay;2008;220000;Siyah;58500;TL;2020-11-03;İstanbul;Arnavutköy;Chevrolet;Lacetti
12;CHAVROLET LACETTİ 1.6 CVVT MOTOR BENZİN LPG Lİ AİLE ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-chavrolet-lacetti-1.6-cvvt-motor-benzin-lpg-li-aile-araci-875729465/detay;2011;215000;Kırmızı;68500;TL;2020-11-03;İstanbul;Bağcılar;Chevrolet;Lacetti
13;Chevrolet lacetti 2005;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-chevrolet-lacetti-2005-875702389/detay;2005;290000;Beyaz;50000;TL;2020-11-03;Şanlıurfa;Haliliye;Chevrolet;Lacetti
14;143 BİN KM LACETTİ HB 1.4 SE/LPG MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-chevrolet-143-bin-km-lacetti-hb-1.4-se-lpg-masrafsiz-875673874/detay;2011;143000;Beyaz;74750;TL;2020-11-03;Zonguldak;Çaycuma;Chevrolet;Lacetti
