caption;link;year;km;color;price;price_unit;date;city;district
1;2017 MODEL -DESİNG-DEĞİŞENSİZ -OTOMATİK-30DK"DA KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2017-model-desing-degisensiz-otomatik-30dk-da-kredi-imkani-874957831/detay;2017;59500;Gümüş Gri;127500;TL;2020-10-30;İstanbul;Esenyurt
2;HATASIZ-BOYASIZ- 2015 OPEL CORSA 1.4 ESENTİA OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hatasiz-boyasiz-2015-opel-corsa-1.4-esentia-otomatik-869983007/detay;2015;62000;Sarı;147500;TL;2020-10-28;Elazığ;Merkez
3;sahibinden temiz opel corca 1.3 dizel;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-temiz-opel-corca-1.3-dizel-874553582/detay;2013;132000;Gümüş Gri;115000;TL;2020-10-28;Rize;Ardeşen
4;ALTINCABA'DAN 2020 OPEL CORSA ELEGANCE HATASIZ ORJİNAL %18KDV;https://www.sahibinden.com/ilan/vasita-otomobil-opel-altincaba-dan-2020-opel-corsa-elegance-hatasiz-orjinal-18kdv-874360985/detay;2020;12500;Gri;214900;TL;2020-10-27;Konya;Karatay
5;0 KM + 2020 YENİ CORSA 1.5 DİZEL MANUEL +LED+APPLE + HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-0-km-plus-2020-yeni-corsa-1.5-dizel-manuel-plusled-plusapple-plus-hatasiz-870602699/detay;2020;0;Beyaz;192750;TL;2020-10-27;İstanbul;Bağcılar
6;EMSALSIZ TEMIZLIKTE OTOMATIK BAYAN ARACI DUSUK KM KIRMIZI RENK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-emsalsiz-temizlikte-otomatik-bayan-araci-dusuk-km-kirmizi-renk-866171090/detay;2011;77000;Kırmızı;125000;TL;2020-10-27;Ankara;Altındağ
7;2015 MODEL OTOMATİK 50 BİN KM ENJOY PLUS ÖZEL RENK EMSALSİZ.;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2015-model-otomatik-50-bin-km-enjoy-plus-ozel-renk-emsalsiz-874171727/detay;2015;50000;Sarı;157500;TL;2020-10-26;İstanbul;Kadıköy
8;TAMAMİNA KREDİ İMKANİ SERVİS BAKIMLI OPEL CORSA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-tamamina-kredi-imkani-servis-bakimli-opel-corsa-874103737/detay;2014;236000;Gri;81250;TL;2020-10-26;İstanbul;Bağcılar
9;2008 MODEL CORSA ENJOY PAKET SON FİYAT PAZARLIKSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2008-model-corsa-enjoy-paket-son-fiyat-pazarliksiz-873995330/detay;2008;235000;Mavi;79000;TL;2020-10-25;Hatay;Payas
10;temiz araba;https://www.sahibinden.com/ilan/vasita-otomobil-opel-temiz-araba-873899025/detay;2010;120000;Siyah;1e+05;TL;2020-10-25;İstanbul;Başakşehir
