caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;2017 MODEL TEMIZ EGEA EASY PLUS KUSURSUZ TEMİZLİKTE;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2017-model-temiz-egea-kusursuz-temizlikte-875127161/detay;2017;124500;Beyaz;125999;TL;2020-10-31;İstanbul;Esenyurt;Fiat;Egea
2;Fiat Egea Hatasız Boyasız - Sadece 19.000KM;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-fiat-egea-hatasiz-boyasiz-sadece-19.000km-874920141/detay;2018;19000;Beyaz;128000;TL;2020-10-30;Ankara;Çankaya;Fiat;Egea
3;60AY TAMAMINA YAKN KREDİ 2017 FİAT EGEA 1.6 Mjet URBAN 70.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-60ay-tamamina-yakn-kredi-2017-fiat-egea-1.6-mjet-urban-70.000-km-870003306/detay;2017;70000;Füme;144950;TL;2020-10-30;İstanbul;Bağcılar;Fiat;Egea
4;FIRAT OTOMOTİV DEN 2020 EGEA 1.3 M.JET2 URBAN PLUS (SIFIR) KM;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-firat-otomotiv-den-2020-egea-1.3-m.jet2-urban-plus-sifir-km-874816876/detay;2020;0;Gümüş Gri;182750;TL;2020-10-29;İstanbul;Üsküdar;Fiat;Egea
5;FIRAT OTOMOTİV DEN 2020 MODEL EGEA 1.4 FİRE EASY (SIFIR) KM;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-firat-otomotiv-den-2020-model-egea-1.4-fire-easy-sifir-km-874811751/detay;2020;0;Gümüş Gri;136750;TL;2020-10-29;İstanbul;Üsküdar;Fiat;Egea
6;2017 MODEL TEMİZ YENİ MUAYENELİ EGEA 1.3 MULTİJET;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2017-model-temiz-yeni-muayeneli-egea-1.3-multijet-874537913/detay;2017;106600;Beyaz;126500;TL;2020-10-28;İstanbul;Esenler;Fiat;Egea
7;SAHİBİNDEN İLK GÜNKÜ TEMİZLİKTE HATASIZ BOYASIZ 40 BİNDE EGEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sahibinden-ilk-gunku-temizlikte-hatasiz-boyasiz-40-binde-egea-874536379/detay;2017;40000;Beyaz;136900;TL;2020-10-28;İstanbul;Bayrampaşa;Fiat;Egea
8;KIRAÇ OTOMOTİV DEN ANINDA EVRAKSIZ KREDI IMKANI ILE EGEA HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-kirac-otomotiv-den-aninda-evraksiz-kredi-imkani-ile-egea-hatasiz-874308842/detay;2020;12000;Kırmızı;129950;TL;2020-10-27;İstanbul;Bağcılar;Fiat;Egea
9;2017 MODEL HATASIZ EGEA 1.6 E-TROG LOUNGE PLUS OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2017-model-hatasiz-egea-1.6-e-trog-lounge-plus-otomatik-874282897/detay;2017;71000;Gümüş Gri;163500;TL;2020-10-27;İstanbul;Maltepe;Fiat;Egea
10;UYSAL OTOMOTİVDEN.PE ŞİNATSIZ.2016 MODEL TAMAMINA KREDİLİ EGEA..;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-uysal-otomotivden.pesinatsiz.2016-model-tamamina-kredili-egea-874042351/detay;2016;563000;Kahverengi;89500;TL;2020-10-26;İstanbul;Bağcılar;Fiat;Egea
