caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;KILIÇ MOTORS DAN 2010 MOD 1.3 M.JET SOLE MASRAFSIZ TERTEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-kilic-motors-dan-2010-mod-1.3-m.jet-sole-masrafsiz-tertemiz-870620160/detay;2010;270000;Gümüş Gri;49950;TL;2020-10-12;İstanbul;Gaziosmanpaşa;Fiat;Albea
2;2006 Model Multijet Dinamic Full Paket Ağır Bakımları Yapıldı;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2006-model-multijet-dinamic-full-paket-agir-bakimlari-yapildi-801136018/detay;2006;263000;Gümüş Gri;39900;TL;2020-10-30;İstanbul;Bahçelievler;Fiat;Albea
3;2006 model active;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2006-model-active-874902262/detay;2006;121000;Kırmızı;67500;TL;2020-10-30;Malatya;Doğanşehir;Fiat;Albea
4;sahibinden tertemiz albea;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sahibinden-tertemiz-albea-874899604/detay;2006;5e+05;Gri;32500;TL;2020-10-30;İstanbul;Başakşehir;Fiat;Albea
5;Hatasız orjinal dizel palıo;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-hatasiz-orjinal-dizel-palio-874821110/detay;2006;141000;Gri;65000;TL;2020-10-30;Ordu;Altınordu;Fiat;Albea
6;HATASIZ BOYASİZ HASAR KAYITSIZ 2003 ALBEA 1.2 SL LPGLİ KLİMALI;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-hatasiz-boyasiz-hasar-kayitsiz-2003-albea-1.2-sl-lpgli-klimali-874836762/detay;2003;165000;Gümüş Gri;48750;TL;2020-10-30;Kütahya;Tavşanlı;Fiat;Albea
7;2011 taksi çıkması;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2011-taksi-cikmasi-874859331/detay;2011;677000;Gümüş Gri;38500;TL;2020-10-30;İstanbul;Fatih;Fiat;Albea
8;2005 FİAT ALBEA 72.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2005-fiat-albea-72.000-km-874748692/detay;2005;71450;Beyaz;73500;TL;2020-10-30;Ankara;Çankaya;Fiat;Albea
9;fiat albea sole premio;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-fiat-albea-sole-premio-865705198/detay;2009;162000;Kırmızı;49000;TL;2020-10-30;Erzurum;Palandöken;Fiat;Albea
10;2009 ALBEA TERTEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2009-albea-tertemiz-874852196/detay;2009;250000;Beyaz;41500;TL;2020-10-30;Aydın;Nazilli;Fiat;Albea
11;Öztürk Otomotivden Emsalsiz 1.2 - 16 valf Fiat Albea;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-ozturk-otomotivden-emsalsiz-1.2-16-valf-fiat-albea-874874076/detay;2006;240000;Beyaz;58000;TL;2020-10-30;Burdur;Merkez;Fiat;Albea
12;Orjinal değişensiz ALBEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-orjinal-degisensiz-albea-867789216/detay;2010;745000;Sarı;40250;TL;2020-10-30;Samsun;Havza;Fiat;Albea
13;DEĞİŞEN, HASAR KAYDI YOK;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-degisen-hasar-kaydi-yok-874834800/detay;2005;230000;Mavi;52500;TL;2020-10-30;Kastamonu;Taşköprü;Fiat;Albea
14;SAHİBİNDEN TEMİZ TİTİZ KULLANILMIŞ DÜŞÜK KM DE ALBEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sahibinden-temiz-titiz-kullanilmis-dusuk-km-de-albea-874806247/detay;2007;139000;Gümüş Gri;69000;TL;2020-10-30;Kocaeli;Gebze;Fiat;Albea
15;ALBEA 2004 1.2 16 VALF 3 PARCA BOYALI MASRAFSIZ COK TEMIZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-albea-2004-1.2-16-valf-3-parca-boyali-masrafsiz-cok-temiz-874840541/detay;2004;288000;Beyaz;52000;TL;2020-10-29;Antalya;Kepez;Fiat;Albea
16;SAHİBİNDEN ORJİNAL AILE ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sahibinden-orjinal-aile-araci-874855010/detay;2005;131000;Gümüş Gri;73000;TL;2020-10-29;İstanbul;Bağcılar;Fiat;Albea
17;ALBEA 2007 TERTEMİZ MOTORU SIFIRDAN FARKSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-albea-2007-tertemiz-motoru-sifirdan-farksiz-874838116/detay;2007;255000;Siyah;48000;TL;2020-10-29;Antalya;Alanya;Fiat;Albea
18;temiz aile aracı;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-temiz-aile-araci-874836248/detay;2005;330000;Gümüş Gri;42000;TL;2020-10-29;Kütahya;Aslanapa;Fiat;Albea
19;1.3 MULTİJET ALBEA SOLE DİNAMİK!!!;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-1.3-multijet-albea-sole-dinamik-874853989/detay;2010;171000;Gümüş Gri;71950;TL;2020-10-29;Karabük;Merkez;Fiat;Albea
20;2007 MOD ALBEYA 1.3MULTİJET DİZEL TAKSİ ÇIKMASI DEGİL;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2007-mod-albeya-1.3multijet-dizel-taksi-cikmasi-degil-874850759/detay;2007;229000;Gri;54500;TL;2020-10-29;Ankara;Etimesgut;Fiat;Albea
