caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;60 AY TAMAMINA YAKN KREDİ 2017 FİAT LİNEA 1.3 MULTJET POP 95 HP;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-60-ay-tamamina-yakn-kredi-2017-fiat-linea-1.3-multjet-pop-95-hp-866163278/detay;2017;105000;Beyaz;109950;TL;2020-10-30;İstanbul;Bağcılar;Fiat;Linea
2;HATASIZ BOYASIZ HASAR KAYITSIZ TRAMERSİ EURO5 MOTOR;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-hatasiz-boyasiz-hasar-kayitsiz-tramersi-euro5-motor-874827092/detay;2012;45000;Gümüş Gri;105000;TL;2020-10-29;Manisa;Akhisar;Fiat;Linea
3;SADECE 75 BİN KM.'DE DİZEL MAKYAJLI LİNEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sadece-75-bin-km-de-dizel-makyajli-linea-874545857/detay;2015;75000;Beyaz;107000;TL;2020-10-28;Denizli;Sarayköy;Fiat;Linea
4;PEŞİNASTSIZ..2016 MODEL.TAMAMINA 71.000TLYE KADAR KREDİ İMKANI..;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-pesinastsiz..2016-model.tamamina-71.000tlye-kadar-kredi-imkani-874072150/detay;2015;559000;Bej;62000;TL;2020-10-26;İstanbul;Bağcılar;Fiat;Linea
5;2018 ÇIKŞ+60.000KM+BOY­ASIZ+TRAMERSZ+GSR PAKET+18KDV+YENİ MUAYNE;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2018-ciks-plus60.000km-plusboyasiz-plustramersz-plusgsr-paket-plus18kdv-plusyeni-muayne-874002118/detay;2017;60000;Beyaz;116750;TL;2020-10-26;İstanbul;Bahçelievler;Fiat;Linea
6;2015 FİAT LİNEA 1.3 MJET 95 HP E5 GSR Lİ 94.713 KM SERVS KAYITLI;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2015-fiat-linea-1.3-mjet-95-hp-e5-gsr-li-94.713-km-servs-kayitli-870234438/detay;2015;94713;Beyaz;98950;TL;2020-10-25;Balıkesir;Gönen;Fiat;Linea
7;İSMAİL USLU' dan Kaza, değişen, boya ve hasar kaydı yok. LPG 'Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-ismail-uslu-dan-kaza-degisen-boya-ve-hasar-kaydi-yok-lpg-li-873739601/detay;2013;115000;Beyaz;85900;TL;2020-10-24;Bursa;Osmangazi;Fiat;Linea
8;Sıfır kokusu içinde 2018 çıkışlı..!;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sifir-kokusu-icinde-2018-cikisli-870883184/detay;2017;63000;Beyaz;113500;TL;2020-10-21;Manisa;Yunusemre;Fiat;Linea
9;2016 Model-125 bin kmde-Pop-95 bg-Fıat Linea-1.3 Multıjet;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2016-model-125-bin-kmde-pop-95-bg-fiat-linea-1.3-multijet-871114578/detay;2016;125750;Beyaz;96750;TL;2020-10-14;İstanbul;Ataşehir;Fiat;Linea
10;2014 model 130 bin km orjinal;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2014-model-130-bin-km-orjinal-870140029/detay;2014;131000;Beyaz;86500;TL;2020-10-10;İstanbul;Avcılar;Fiat;Linea
11;2017 1.3 MULTİJET HATASIZ LİNEA POP GSR SADECE(99BİN) KM DE;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2017-1.3-multijet-hatasiz-linea-pop-gsr-sadece-99bin-km-de-870078260/detay;2017;99000;Beyaz;112000;TL;2020-10-10;Bolu;Merkez;Fiat;Linea
12;SELMAN OTOMOTİVDEN FİAT LİNEA 1.3 MJ ACTİVE PLUS YENİ KASA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-selman-otomotivden-fiat-linea-1.3-mj-active-plus-yeni-kasa-868244311/detay;2012;238000;Beyaz;62750;TL;2020-10-04;Konya;Selçuklu;Fiat;Linea
13;Yavuz Otomotivden Fiat Linea 1.3 Multijet;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-yavuz-otomotivden-fiat-linea-1.3-multijet-866939073/detay;2015;152000;Beyaz;92000;TL;2020-10-31;Balıkesir;Karesi;Fiat;Linea
14;temiz bakımlı kullanıcıdan;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-temiz-bakimli-kullanicidan-875197412/detay;2011;204000;Gümüş Gri;73250;TL;2020-10-31;Tekirdağ;Süleymanpaşa;Fiat;Linea
15;sahibinden temiz linea euro5 95 hp;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sahibinden-temiz-linea-euro5-95-hp-875196011/detay;2012;174000;Beyaz;79999;TL;2020-10-31;Ankara;Altındağ;Fiat;Linea
16;2009 MOD. 1.3 mjet dizel. 206 bin km;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2009-mod-1.3-mjet-dizel-206-bin-km-837293576/detay;2009;206000;Gümüş Gri;61000;TL;2020-10-31;Tekirdağ;Süleymanpaşa;Fiat;Linea
17;tertemiz linea;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-tertemiz-linea-875192367/detay;2013;135000;Gümüş Gri;92000;TL;2020-10-31;Iğdır;Merkez;Fiat;Linea
18;Hatasız Linea;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-hatasiz-linea-875211356/detay;2013;197000;Beyaz;82500;TL;2020-10-31;Samsun;Bafra;Fiat;Linea
19;jandarmadan düşük kilometre arayanlar için fırsat;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-jandarmadan-dusuk-kilometre-arayanlar-icin-firsat-875189707/detay;2014;120000;Gri;95000;TL;2020-10-31;Zonguldak;Merkez;Fiat;Linea
20;ACİLL SATILIK EMSALSİZ LİNEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-acill-satilik-emsalsiz-linea-875191754/detay;2010;283000;Gümüş Gri;76000;TL;2020-10-31;Ankara;Altındağ;Fiat;Linea
21;DÜŞÜK KM ARAYANLARA 1.4 LİNEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-dusuk-km-arayanlara-1.4-linea-836054907/detay;2016;62000;Beyaz;84000;TL;2020-10-31;Bilecik;Merkez;Fiat;Linea
22;ARAÇ KEYFİ SATILIKTIR ARAÇ BAŞINDA PAZARLIK VARDIR;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-arac-keyfi-satiliktir-arac-basinda-pazarlik-vardir-875136401/detay;2014;520000;Beyaz;60000;TL;2020-10-31;İstanbul;Beylikdüzü;Fiat;Linea
23;2013 Model 150.000 Km Fiat Linea Actual Plus 95 Hp;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2013-model-150.000-km-fiat-linea-actual-plus-95-hp-875204074/detay;2013;150000;Beyaz;84800;TL;2020-10-31;Muğla;Menteşe;Fiat;Linea
24;fiatliena 1.3multijet 2011 204000km;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-fiatliena-1.3multijet-2011-204000km-875165362/detay;2011;204000;Gri;70600;TL;2020-10-31;Şanlıurfa;Siverek;Fiat;Linea
25;2014 FIAT LİNEA 1.3 MULTİJET POP GSR BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2014-fiat-linea-1.3-multijet-pop-gsr-boyasiz-730861484/detay;2014;99000;Beyaz;102000;TL;2020-10-31;Hatay;Antakya;Fiat;Linea
26;sahibinden temiz bakımlı aile araci;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-sahibinden-temiz-bakimli-aile-araci-875186729/detay;2011;157656;Beyaz;85000;TL;2020-10-31;Bursa;Yıldırım;Fiat;Linea
27;2016 Model Fiat Linea 1.3 Multijet;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2016-model-fiat-linea-1.3-multijet-875197108/detay;2016;181000;Beyaz;88500;TL;2020-10-31;Gaziantep;Şehitkamil;Fiat;Linea
28;Temiz Bakımlı Hatasız-Boyasız;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-temiz-bakimli-hatasiz-boyasiz-875193910/detay;2011;225000;Beyaz;77000;TL;2020-10-31;Kocaeli;İzmit;Fiat;Linea
29;temiz tüm bakımları yapılmış taksi çıkması;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-temiz-tum-bakimlari-yapilmis-taksi-cikmasi-875185328/detay;2013;523000;Beyaz;61900;TL;2020-10-31;İstanbul;Bahçelievler;Fiat;Linea
30;**2014 SIFIR GİBİ LİNEA SADECE 54 BİN DE ***HATASIZ TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2014-sifir-gibi-linea-sadece-54-bin-de-hatasiz-tramersiz-875191395/detay;2014;54500;Beyaz;110300;TL;2020-10-31;Ankara;Akyurt;Fiat;Linea
31;Fiat linea 1.3 multijet pop km:182.000;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-fiat-linea-1.3-multijet-pop-km-182.000-875180133/detay;2013;182000;Beyaz;82500;TL;2020-10-31;Gaziantep;Şahinbey;Fiat;Linea
32;Fiat linea aile aracı;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-fiat-linea-aile-araci-875105946/detay;2007;260000;Bordo;67000;TL;2020-10-31;İstanbul;Avcılar;Fiat;Linea
33;Düşük km hatasız linea;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-dusuk-km-hatasiz-linea-875173674/detay;2014;117600;Beyaz;98750;TL;2020-10-31;Elazığ;Merkez;Fiat;Linea
34;LINEA EURO5;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-linea-euro5-875178320/detay;2013;132000;Gri;93000;TL;2020-10-31;İstanbul;Esenyurt;Fiat;Linea
35;BERKAY OTOMOTİV DE ORİJİNAL VE BAKIMLI 82 BİN KM LINEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-berkay-otomotiv-de-orijinal-ve-bakimli-82-bin-km-linea-867016492/detay;2015;82000;Beyaz;106000;TL;2020-10-31;Çanakkale;Çan;Fiat;Linea
36;2014 MODEL ORJİNAL. LİNEA ACTIVE PLUS 1.3 MULTIJET;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-2014-model-orjinal-linea-active-plus-1.3-multijet-867417248/detay;2014;235000;Gümüş Gri;78000;TL;2020-10-31;Samsun;Bafra;Fiat;Linea
37;taksi cıkması değil;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-taksi-cikmasi-degil-875178246/detay;2008;230000;Bordo;63500;TL;2020-10-31;Erzincan;Merkez;Fiat;Linea
38;ANKARA AUTO'DAN 23000 KM'DE LİNEA 1.4 POP;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-ankara-auto-dan-23000-km-de-linea-1.4-pop-875178142/detay;2017;23000;Beyaz;95000;TL;2020-10-31;Ankara;Akyurt;Fiat;Linea
39;ACİL İHTİYACTAN SATILIK KELEPİR LİNEA;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-acil-ihtiyactan-satilik-kelepir-linea-875019301/detay;2011;224000;Beyaz;66000;TL;2020-10-31;Trabzon;Sürmene;Fiat;Linea
40;Değişensiz Orjinal km;https://www.sahibinden.com/ilan/vasita-otomobil-fiat-degisensiz-orjinal-km-875173825/detay;2010;222000;Gümüş Gri;68000;TL;2020-10-31;İstanbul;Beykoz;Fiat;Linea
