caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;GÖKTAŞLAR'DAN 2017 FORD MONDEO 1.5 ECOBOOST SR+LED+TEKNO;https://www.sahibinden.com/ilan/vasita-otomobil-ford-goktaslar-dan-2017-ford-mondeo-1.5-ecoboost-sr-plusled-plustekno-874179854/detay;2017;87000;Beyaz;332000;TL;2020-10-29;Ankara;Akyurt;Ford;Mondeo
2;GÖKTAŞLAR'DAN 2017 FORD MONDEO 2.0 TDCI 180 PS FULL PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-ford-goktaslar-dan-2017-ford-mondeo-2.0-tdci-180-ps-full-paket-874178832/detay;2017;1e+05;Siyah;355900;TL;2020-10-26;Ankara;Akyurt;Ford;Mondeo
3;sıfır kaza sıfır boya;https://www.sahibinden.com/ilan/vasita-otomobil-ford-sifir-kaza-sifir-boya-875146805/detay;2006;212000;Gri;70000;TL;2020-10-31;Osmaniye;Kadirli;Ford;Mondeo
4;AKDENİZ AUTO DAN FORD MONDEO TİTANYUM OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-ford-akdeniz-auto-dan-ford-mondeo-titanyum-otomatik-867348696/detay;2015;180000;Siyah;229000;TL;2020-10-31;Mersin;Tarsus;Ford;Mondeo
5;Ford mondeo;https://www.sahibinden.com/ilan/vasita-otomobil-ford-uygun-fiyatli-balina-kasa-875142047/detay;2008;215000;Gri;110000;TL;2020-10-31;Aydın;Kuşadası;Ford;Mondeo
6;2010 FORD MONDEO 2.0 TDCİ SELECTİVE SANRUF OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-ford-2010-ford-mondeo-2.0-tdci-selective-sanruf-otomatik-875140932/detay;2010;225000;Siyah;127900;TL;2020-10-31;Osmaniye;Merkez;Ford;Mondeo
7;Hatasiza Yakın mondeo;https://www.sahibinden.com/ilan/vasita-otomobil-ford-hatasiza-yakin-mondeo-875137034/detay;2012;204000;Beyaz;140000;TL;2020-10-31;İstanbul;Ümraniye;Ford;Mondeo
8;Satılık Ford Mondeo dizel;https://www.sahibinden.com/ilan/vasita-otomobil-ford-satilik-ford-mondeo-dizel-874810853/detay;2004;258498;Gümüş Gri;72500;TL;2020-10-31;Ankara;Gölbaşı;Ford;Mondeo
9;PRESTİJ AUTODAN FORD MONDEO TİTANYUM;https://www.sahibinden.com/ilan/vasita-otomobil-ford-prestij-autodan-ford-mondeo-titanyum-875119416/detay;2009;328000;Siyah;89750;TL;2020-10-31;Diyarbakır;Bağlar;Ford;Mondeo
10;MONDEO KONFOR İSTEYENLERE;https://www.sahibinden.com/ilan/vasita-otomobil-ford-mondeo-konfor-isteyenlere-875106934/detay;2008;3e+05;Gümüş Gri;98750;TL;2020-10-31;Kahramanmaraş;Dulkadiroğlu;Ford;Mondeo
11;DİZEL OTOMATİK FORD MONDEO YENİ MUAYENELİ;https://www.sahibinden.com/ilan/vasita-otomobil-ford-dizel-otomatik-ford-mondeo-yeni-muayeneli-867027692/detay;2009;360000;Siyah;105000;TL;2020-10-31;İstanbul;Avcılar;Ford;Mondeo
