caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;BAKIMLI TERTEMİZ 2005 HYUNDAİ ACCENT ADMİRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-bakimli-tertemiz-2005-hyundai-accent-admira-874822096/detay;2005;162000;Beyaz;69750;TL;2020-10-29;Tokat;Merkez;Hyundai;Accent
2;SADECE 105.000 KM DE BAKIMLI 2005 HYUNDAİ ACCENT ADMİRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sadece-105.000-km-de-bakimli-2005-hyundai-accent-admira-874816938/detay;2005;105600;Gri;72750;TL;2020-10-29;Tokat;Merkez;Hyundai;Accent
3;Gel gör al git;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-gel-gor-al-git-875527391/detay;2005;217980;Beyaz;53500;TL;2020-11-02;Kayseri;Melikgazi;Hyundai;Accent
4;SAHBİNDEN MASRAFSIZ HYUNDAİ ADMİRA 2005 MODEL 1.3 BENZİN+LPG;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahbinden-masrafsiz-hyundai-admira-2005-model-1.3-benzin-pluslpg-875221529/detay;2005;193500;Gri;67000;TL;2020-11-02;Antalya;Manavgat;Hyundai;Accent
5;Tertemiz Orjinal Admire;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-tertemiz-orjinal-admire-875521335/detay;2004;224000;Yeşil;58000;TL;2020-11-02;Sakarya;Adapazarı;Hyundai;Accent
6;masrafsız temiz araç;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-masrafsiz-temiz-arac-874865389/detay;2005;262000;Beyaz;65000;TL;2020-11-02;Ankara;Çankaya;Hyundai;Accent
7;ÖZ BURAK GÜVENCESİYLE FULL BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-oz-burak-guvencesiyle-full-bakimli-875532468/detay;1998;287000;Beyaz;39900;TL;2020-11-02;Kayseri;Kocasinan;Hyundai;Accent
8;masrafsız aile aracı;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-masrafsiz-aile-araci-846828459/detay;2001;275000;Gümüş Gri;52500;TL;2020-11-02;Isparta;Merkez;Hyundai;Accent
9;sahibinden Accent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-accent-875505748/detay;1998;310000;Yeşil;28500;TL;2020-11-02;Denizli;Pamukkale;Hyundai;Accent
10;EMEKLİ POLİSTEN SATILIK;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-emekli-polisten-satilik-875504575/detay;2003;190000;Gümüş Gri;67250;TL;2020-11-02;Kırşehir;Merkez;Hyundai;Accent
11;orijinal hatasız arayanlara;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-orijinal-hatasiz-arayanlara-875502202/detay;1998;106000;Beyaz;41000;TL;2020-11-02;Ankara;Altındağ;Hyundai;Accent
12;FIAT SİMGE DEN 1999 HYUNDAI ACCENT 1.5 GLS YENİ MUAYNELİ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-fiat-simge-den-1999-hyundai-accent-1.5-gls-yeni-muayneli-875508719/detay;1999;220360;Beyaz;39750;TL;2020-11-02;Düzce;Kaynaşlı;Hyundai;Accent
13;değişeni yok kule direkler temiz;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-degiseni-yok-kule-direkler-temiz-875494048/detay;1997;265000;Kahverengi;45000;TL;2020-11-02;Nevşehir;Merkez;Hyundai;Accent
14;1998 MODEL HYUNDAÎ ACCENT 1.3LPĞLÎ MOTOR VE YÜRÜYEN ÇOK GÜZEL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-1998-model-hyundai-accent-1.3lpgli-motor-ve-yuruyen-cok-guzel-875520576/detay;1998;289500;Gümüş Gri;36900;TL;2020-11-02;Ankara;Etimesgut;Hyundai;Accent
15;sahibinden satılık;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-satilik-875492641/detay;1997;224000;Gümüş Gri;38500;TL;2020-11-02;Manisa;Salihli;Hyundai;Accent
16;190 binde Otomatik vites;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-190-binde-otomatik-vites-875518079/detay;1999;190000;Beyaz;47500;TL;2020-11-02;Manisa;Alaşehir;Hyundai;Accent
17;AUTO PLUS DAN HYUNDAİ ACCENT 1.5 GL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-auto-plus-dan-hyundai-accent-1.5-gl-875517144/detay;2000;350000;Beyaz;49500;TL;2020-11-02;Kayseri;Kocasinan;Hyundai;Accent
18;HYUNDAİ 1,5 DİZEL 191 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-1%2C5-dizel-191-binde-862076133/detay;2002;192000;Gri;41500;TL;2020-11-02;Çanakkale;Çan;Hyundai;Accent
19;Temiz admire;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-admire-873925866/detay;2004;236000;Beyaz;53000;TL;2020-11-02;Bursa;İnegöl;Hyundai;Accent
20;2006 Hyundai ascent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2006-hyundai-ascent-875501013/detay;2006;128000;Beyaz;75000;TL;2020-11-02;Muş;Merkez;Hyundai;Accent
21;EMRE OTOMOTİV DEN BİR AŞK HİKAYESİ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-emre-otomotiv-den-bir-ask-hikayesi-867892686/detay;2004;244000;Yeşil;48500;TL;2020-11-02;Denizli;Merkezefendi;Hyundai;Accent
22;HYUNDAİ Accent 1.5 gls full modeli;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-1.5-gls-modelin-en-cok-tutulani-875406414/detay;1998;170000;Yeşil;46500;TL;2020-11-02;Kastamonu;Merkez;Hyundai;Accent
23;sahibinden temiz arac;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-temiz-arac-875478691/detay;2001;250000;Gri;49750;TL;2020-11-02;Kayseri;Melikgazi;Hyundai;Accent
24;sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-875479735/detay;2000;240000;Beyaz;41500;TL;2020-11-02;Ankara;Sincan;Hyundai;Accent
25;HYUNDAİ ACCENT ADMİRE 1.5 CRDİ 190.ooo KMDE ORJ KM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-admire-1.5-crdi-190.ooo-kmde-orj-km-867701841/detay;2003;190000;Yeşil;42750;TL;2020-11-02;İstanbul;Küçükçekmece;Hyundai;Accent
26;ERKAN GALERİDE 2003 model 1.3. Lpgli klimalı hatasız Admira;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-erkan-galeride-2003-model-1.3-lpgli-klimali-hatasiz-admira-870955041/detay;2003;250000;Beyaz;52500;TL;2020-11-02;Çanakkale;Yenice;Hyundai;Accent
27;SAHİBİNDEN BAKIMLI EXPERTİZ RAPORLU;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-bakimli-expertiz-raporlu-875481389/detay;2001;202000;Beyaz;51000;TL;2020-11-02;Kırıkkale;Merkez;Hyundai;Accent
28;Sanki sene 98;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sanki-sene-98-820500852/detay;1998;270;Mavi;38000;TL;2020-11-02;Ankara;Kahramankazan;Hyundai;Accent
29;İLK ELDEN ÇOK TEMİZ 1.6 BENZİNLİ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilk-elden-cok-temiz-1.6-benzinli-875476630/detay;2006;211000;Beyaz;64900;TL;2020-11-02;Diyarbakır;Yenişehir;Hyundai;Accent
30;LX KLM AC FULL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-lx-klm-ac-full-875410642/detay;1999;207000;Beyaz;41000;TL;2020-11-02;Mersin;Tarsus;Hyundai;Accent
31;hyundai accent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-875394269/detay;2005;220000;Gri;46000;TL;2020-11-02;Antalya;Elmalı;Hyundai;Accent
32;Acil bedelli nedeniyle satışta;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-acil-bedelli-nedeniyle-satista-875430228/detay;1999;125000;Beyaz;40000;TL;2020-11-02;İstanbul;Sarıyer;Hyundai;Accent
33;2005 Hyundai Admire Hatasız;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2005-hyundai-admire-hatasiz-875424337/detay;2005;233000;Beyaz;54750;TL;2020-11-02;Bursa;Nilüfer;Hyundai;Accent
34;tertemiz admire;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-tertemiz-admire-875423256/detay;2006;204000;Beyaz;53750;TL;2020-11-02;İstanbul;Başakşehir;Hyundai;Accent
