caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;MELLON'DAN 2014 MODEL 1.6CRDI OTOMATİK ELENTRA ELİTE SUNROOF;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-mellon-dan-2014-model-1.6crdi-otomatik-elentra-elite-sunroof-871240198/detay;2014;123121;Beyaz;164750;TL;2020-11-01;İstanbul;Üsküdar;Hyundai;Elantra
2;EMRON_DAN_2017 MODEL_SERVİS BAKIMLI GARANTİLİ_ELİT_PLUS_;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-emron_dan_2017-model_servis-bakimli-garantili_elit_plus-874358818/detay;2017;93000;Gri;198950;TL;2020-10-27;İstanbul;Kadıköy;Hyundai;Elantra
3;2013*BOYASIZ*61,­000-kmde*ELENTRA 1.6 D-CVVT*STYLE+ANDROİD EKRAN+;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2013-boyasiz-61%2C000-kmde-elentra-1.6-d-cvvt-style-plusandroid-ekran-plus-872388735/detay;2013;61000;Beyaz;148950;TL;2020-10-19;İstanbul;Ataşehir;Hyundai;Elantra
4;Temiz, Bakımlı Elentra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-bakimli-elentra-875409809/detay;2004;283500;Lacivert;62000;TL;2020-11-02;Kahramanmaraş;Onikişubat;Hyundai;Elantra
5;17000 km elantra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-17000-km-elantra-875409318/detay;2014;17000;Mavi;170000;TL;2020-11-02;Ankara;Çankaya;Hyundai;Elantra
6;ilk sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilk-sahibinden-824477198/detay;2019;17000;Beyaz;230000;TL;2020-11-02;İstanbul;Avcılar;Hyundai;Elantra
7;FUL SERVİS BAKİMLİ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ful-servis-bakimli-875429616/detay;2014;154000;Beyaz;167500;TL;2020-11-02;Manisa;Soma;Hyundai;Elantra
8;Elantra Benzin - Lpg ( ruhsata işli );https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-elantra-benzin-lpg-ruhsata-isli-875403635/detay;2016;68000;Kırmızı;186000;TL;2020-11-02;İstanbul;Kartal;Hyundai;Elantra
9;Memurdan full otomatik elantra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-memurdan-full-otomatik-elantra-875385871/detay;2012;112000;Beyaz;168000;TL;2020-11-01;Samsun;Kavak;Hyundai;Elantra
10;SİVAS KAYSERİ HYUNDAI NISSAN BAYİ İNOTO GÜVENCESİYLE ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sivas-kayseri-hyundai-nissan-bayi-inoto-guvencesiyle-elantra-798258640/detay;2017;92139;Beyaz;182000;TL;2020-11-01;Kayseri;Melikgazi;Hyundai;Elantra
