caption;link;year;km;color;price;price_unit;date;city;district
1;Bayandan Makam Aracı;https://www.sahibinden.com/ilan/vasita-otomobil-renault-bayandan-makam-araci-874850879/detay;2000;298;Kırmızı;53000;TL;2020-10-30;Adana;Seyhan
2;192 BİN ORJİNAL KM 98 RXE OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-renault-192-bin-orjinal-km-98-rxe-otomatik-874775783/detay;1998;192000;Yeşil;61000;TL;2020-10-30;İstanbul;Küçükçekmece
3;acil satılık;https://www.sahibinden.com/ilan/vasita-otomobil-renault-acil-satilik-874846443/detay;2004;316;Füme;60000;TL;2020-10-30;Samsun;Terme
4;sahininden acil satilik laguna2;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahininden-acil-satilik-laguna2-874846369/detay;2004;136000;Gümüş Gri;64250;TL;2020-10-30;Bolu;Merkez
5;Acil Satilik Laguna Temiz;https://www.sahibinden.com/ilan/vasita-otomobil-renault-acil-satilik-laguna-temiz-874836151/detay;2004;196000;Gümüş Gri;65000;TL;2020-10-29;İstanbul;Esenler
6;Acil 0 motor(Volvo) Laguna;https://www.sahibinden.com/ilan/vasita-otomobil-renault-acil-0-motor-volvo-laguna-874742903/detay;1997;295000;Yeşil;30000;TL;2020-10-29;Yalova;Çiftlikköy
7;Dusuk km laguna executive;https://www.sahibinden.com/ilan/vasita-otomobil-renault-dusuk-km-laguna-executive-873803094/detay;2011;99000;Siyah;145000;TL;2020-10-29;Kastamonu;Merkez
8;temiz aile arabası;https://www.sahibinden.com/ilan/vasita-otomobil-renault-temiz-aile-arabasi-874827404/detay;2010;170000;Gümüş Gri;107900;TL;2020-10-29;Ankara;Keçiören
9;Laguna Temiz;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-temiz-874586229/detay;2002;334000;Lacivert;55000;TL;2020-10-29;Şanlıurfa;Haliliye
10;Laguna lll değişensin 1.5 parça boya;https://www.sahibinden.com/ilan/vasita-otomobil-renault-laguna-lll-degisensin-1.5-parca-boya-873984741/detay;2010;245000;Gri;1e+05;TL;2020-10-29;Balıkesir;Gönen
11;SAHİBİNDEN ORJİNAL LAGUNA;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-orjinal-laguna-874816970/detay;2009;231000;Siyah;105000;TL;2020-10-29;Kocaeli;Gölcük
12;Renault Laguna Expression 2008 Masrafsız 1.5 Dizel;https://www.sahibinden.com/ilan/vasita-otomobil-renault-renault-laguna-expression-2008-masrafsiz-1.5-dizel-874806873/detay;2008;258000;Gri;69000;TL;2020-10-29;Mersin;Yenişehir
13;Sahibinden Makam Aracı;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-makam-araci-874687338/detay;2004;233000;Füme;64000;TL;2020-10-29;Çanakkale;Merkez
14;KONFOR+ GÜVENLİKMAKAM ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-renault-konfor-plus-guvenlikmakam-araci-874798766/detay;2006;250000;Gümüş Gri;74000;TL;2020-10-29;Şanlıurfa;Harran
15;DYNAMIQUE PAKET FULL HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-dynamique-paket-full-hatasiz-866638472/detay;2009;178000;Gümüş Gri;110000;TL;2020-10-29;Bursa;Osmangazi
16;temiz renoult laguna 2001;https://www.sahibinden.com/ilan/vasita-otomobil-renault-temiz-renoult-laguna-2001-874799791/detay;2001;217000;Gri;58000;TL;2020-10-29;Zonguldak;Ereğli
17;GÖKDEMİR EFE OTOMOTİV;https://www.sahibinden.com/ilan/vasita-otomobil-renault-gokdemir-efe-otomotiv-874799668/detay;1996;358000;Yeşil;41000;TL;2020-10-29;Sakarya;Kocaali
18;2004 MODEL S.LPGLİ 8 AİRBAG ABS SUNROOF TV DERİ KOLTUK PRİVİLAGE;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2004-model-s.lpgli-8-airbag-abs-sunroof-tv-deri-koltuk-privilage-874791251/detay;2004;282000;Mavi;56850;TL;2020-10-29;İstanbul;Eyüpsultan
19;MANKEN SATIŞTA;https://www.sahibinden.com/ilan/vasita-otomobil-renault-manken-satista-874788697/detay;2005;253000;Gri;59000;TL;2020-10-29;Batman;Merkez
20;renault laguna 2 privilage temiz masrafsız aile aracı.;https://www.sahibinden.com/ilan/vasita-otomobil-renault-renault-laguna-2-privilage-temiz-masrafsiz-aile-araci-874582387/detay;2006;206000;Gri;78000;TL;2020-10-29;Bursa;İnegöl
21;KUBİLAY AUTO DAN Türkiye de tek;https://www.sahibinden.com/ilan/vasita-otomobil-renault-kubilay-auto-dan-turkiye-de-tek-874787388/detay;1996;117000;Gri;1e+05;TL;2020-10-29;Manisa;Şehzadeler
22;Bakımlı temiz pirivalge;https://www.sahibinden.com/ilan/vasita-otomobil-renault-bakimli-temiz-pirivalge-874781856/detay;2004;194000;Gri;77000;TL;2020-10-29;Zonguldak;Çaycuma
23;2001 MODEL LAGUNA;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2001-model-laguna-874780786/detay;2001;242000;Füme;46000;TL;2020-10-29;Samsun;Bafra
