caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;Hatasız boyasız tramersiz 115000 de;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-hatasiz-boyasiz-tramersiz-115000-de-865133435/detay;2008;115000;Füme;127500;TL;2020-10-31;Adana;Seyhan;Mitsubishi;Lancer
2;2006-LANCER-1.6 İNVİTE BAKIMLI 215.000KMDE;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2006-lancer-1.6-invite-bakimli-215.000kmde-875088485/detay;2006;215000;Gümüş Gri;80000;TL;2020-10-31;Konya;Karatay;Mitsubishi;Lancer
3;2017 MODEL MAKYAJLI KASA ACİLLFİYAT KISA SÜRE İÇİN GEÇERLİ;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2017-model-makyajli-kasa-acillfiyat-kisa-sure-icin-gecerli-860450323/detay;2017;54000;Gümüş Gri;170000;TL;2020-10-31;İstanbul;Pendik;Mitsubishi;Lancer
4;Büyükçekmece;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-buyukcekmece-875024813/detay;2009;76057;Gümüş Gri;125000;TL;2020-10-31;İstanbul;Büyükçekmece;Mitsubishi;Lancer
5;SAHİBİNDEN JAPON;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-japon-874947126/detay;2006;168000;Beyaz;72500;TL;2020-10-30;Kocaeli;Başiskele;Mitsubishi;Lancer
6;İLK SAHİBİNDEN AİLE ARABASI 274 BİN KM SERVİS BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ilk-sahibinden-aile-arabasi-274-bin-km-servis-bakimli-874920111/detay;2006;274000;Gümüş Gri;77000;TL;2020-10-30;Ankara;Çankaya;Mitsubishi;Lancer
7;Lancer Plus 1.6 Temiz;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-lancer-plus-1.6-temiz-874825732/detay;2006;205000;Gri;90000;TL;2020-10-29;İstanbul;Kartal;Mitsubishi;Lancer
8;İlk Sahibinden 2013 model Mitsubishi Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ilk-sahibinden-2013-model-mitsubishi-lancer-874811240/detay;2013;80250;Beyaz;136500;TL;2020-10-29;Denizli;Pamukkale;Mitsubishi;Lancer
9;acil satılık düşük kilometrede köpekbalığı;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-acil-satilik-dusuk-kilometrede-kopekbaligi-871862145/detay;2013;96000;Beyaz;136000;TL;2020-10-29;Samsun;Atakum;Mitsubishi;Lancer
10;GNS MOTORSDAN 2011 MODEL LANCER 1.6 MANUEL TURBO 200 HP;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-gns-motorsdan-2011-model-lancer-1.6-manuel-turbo-200-hp-866552817/detay;2011;189000;Siyah;155000;TL;2020-10-29;İstanbul;Bahçelievler;Mitsubishi;Lancer
11;Tertemiz mitsubishi lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-tertemiz-mitsubishi-lancer-874667268/detay;1990;196370;Beyaz;35000;TL;2020-10-29;Mersin;Tarsus;Mitsubishi;Lancer
