caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;2017 MEGANE 1.5 TOUCH DİZEL OTOMATİK HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2017-megane-1.5-touch-dizel-otomatik-hatasiz-874965240/detay;2017;117920;Beyaz;199750;TL;2020-10-31;İstanbul;Ataşehir;Renault;Megane
2;TERTEMİZ MEGANE 2;https://www.sahibinden.com/ilan/vasita-otomobil-renault-tertemiz-megane-2-874948641/detay;2008;323000;Mavi;68500;TL;2020-10-31;İzmir;Bornova;Renault;Megane
3;İHTİYAÇTAN SATILIK 2020 YENİ MEGAN SEDAN BLUEDCİ 115HP OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-renault-ihtiyactan-satilik-2020-yeni-megan-sedan-bluedci-115hp-otomatik-875095736/detay;2020;500;Beyaz;290000;TL;2020-10-31;İstanbul;Üsküdar;Renault;Megane
4;%18KDVli-ADET­Lİ-2020-SIFIR KM-OTOMATİK MEGANElar-GÖRÜŞ PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-renault-18kdvli-adetli-2020-sifir-km-otomatik-meganelar-gorus-paket-874460813/detay;2020;0;Beyaz;226500;TL;2020-10-31;Ankara;Çankaya;Renault;Megane
5;TEMİZ OTOMATİK MEGANE 110 HP;https://www.sahibinden.com/ilan/vasita-otomobil-renault-temiz-otomatik-megane-110-hp-874965179/detay;2011;171000;Siyah;124500;TL;2020-10-30;Kocaeli;Darıca;Renault;Megane
6;2018 BOYASIZ MEGANE İCON HB-84.000 TL.PESİNLE 30 DK.DA KREDİ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2018-boyasiz-megane-icon-hb-84.000-tl.pesinle-30-dk.da-kredi-865535174/detay;2018;67000;Beyaz;220000;TL;2020-10-30;İstanbul;Avcılar;Renault;Megane
7;İLK SAHİBINDEN MEGANE IV TOUCH TERTEMİZ DİZEL OTOMATİK 1.5 dci;https://www.sahibinden.com/ilan/vasita-otomobil-renault-ilk-sahibinden-megane-iv-touch-tertemiz-dizel-otomatik-1.5-dci-874860443/detay;2017;50500;Beyaz;218000;TL;2020-10-30;İstanbul;Kağıthane;Renault;Megane
8;HATASIZ BOYASIZ HASAR KAYITSIZ MEGANE YETKİLİ SERVİS BAKIMLI EDC;https://www.sahibinden.com/ilan/vasita-otomobil-renault-hatasiz-boyasiz-hasar-kayitsiz-megane-yetkili-servis-bakimli-edc-872316818/detay;2017;72000;Beyaz;213750;TL;2020-10-29;Antalya;Manavgat;Renault;Megane
9;2017 ÇIKIŞLI MEGANE 1.5 DCİ FULL SERVİS BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2017-cikisli-megane-1.5-dci-full-servis-bakimli-871869763/detay;2016;138000;Mavi;156000;TL;2020-10-29;İstanbul;Sultanbeyli;Renault;Megane
10;LNA AUTO 2017 MODEL RENAULT MEGANE DİZEL OTOMATİK TOUCH PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-renault-lna-auto-2017-model-renault-megane-dizel-otomatik-touch-paket-874701044/detay;2017;140000;Beyaz;186900;TL;2020-10-29;Adana;Seyhan;Renault;Megane
11;BAL OTO GALERİ AKSARAY;https://www.sahibinden.com/ilan/vasita-otomobil-renault-bal-oto-galeri-aksaray-874499480/detay;2009;260000;Gri;81250;TL;2020-10-28;Aksaray;Merkez;Renault;Megane
12;2019 MEGANE SEDAN 1.5 Blue DCI TOUCH EDC 15.000 KM BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2019-megane-sedan-1.5-blue-dci-touch-edc-15.000-km-boyasiz-874426747/detay;2019;15000;Beyaz;256000;TL;2020-10-28;Zonguldak;Ereğli;Renault;Megane
13;ÇAĞAN AUTO-2016 RENAULT MEGANE 4 TOUCH PLUS 1.5 DCİ EDC YENİKASA;https://www.sahibinden.com/ilan/vasita-otomobil-renault-cagan-auto-2016-renault-megane-4-touch-plus-1.5-dci-edc-yenikasa-874306544/detay;2016;129000;Siyah;173500;TL;2020-10-27;İstanbul;Esenyurt;Renault;Megane
