caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;HATASIZ-BOYAS­IZ-GARANTİLİ 2018 NİSSAN MİCRA MATCH;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-hatasiz-boyasiz-garantili-2018-nissan-micra-match-869592579/detay;2018;56000;Mavi;153950;TL;2020-10-28;Elazığ;Merkez;Nissan;Micra
2;2012 MODEL OTOMATİK DEĞİŞENSİZ DÜŞÜK KM TERTEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2012-model-otomatik-degisensiz-dusuk-km-tertemiz-873342067/detay;2012;107000;Beyaz;121500;TL;2020-10-22;Samsun;Atakum;Nissan;Micra
3;2013 MODEL SEDEF BEYAZ OTOMATİK VİTES DEĞİŞEN YOK TRAMER YOK;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2013-model-sedef-beyaz-otomatik-vites-degisen-yok-tramer-yok-873336752/detay;2013;101000;Beyaz;129750;TL;2020-10-22;Samsun;Atakum;Nissan;Micra
4;Sahibinden Satilik 2014 Orjinal 35000 km de Degisensiz;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-sahibinden-satilik-2014-orjinal-35000-km-de-degisensiz-875401487/detay;2014;35000;Kırmızı;118500;TL;2020-11-02;İstanbul;Bahçelievler;Nissan;Micra
5;Micra 1.2 / 210.000 km;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-micra-1.2-210.000-km-875399126/detay;2004;210000;Siyah;56500;TL;2020-11-01;İstanbul;Bahçelievler;Nissan;Micra
6;2017 NİSSAN MİCRA MATCH BOYASIZ+TRAMERSİZ OTOMATİK 38 BİNDE TEMZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2017-nissan-micra-match-boyasiz-plustramersiz-otomatik-38-binde-temz-846197459/detay;2017;38000;Mavi;152000;TL;2020-11-01;İstanbul;Beylikdüzü;Nissan;Micra
7;TEMİZ ARAÇ ARAYANLARA!.. (BOYA-DEĞİŞEN YOK);https://www.sahibinden.com/ilan/vasita-otomobil-nissan-temiz-arac-arayanlara-boya-degisen-yok-839216605/detay;2012;83000;Siyah;120000;TL;2020-11-01;İstanbul;Ümraniye;Nissan;Micra
8;AUTO BEYZA DAN MİCRA 2007;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-auto-beyza-dan-micra-2007-867735709/detay;2007;174000;Siyah;62900;TL;2020-11-01;Hatay;İskenderun;Nissan;Micra
9;2018 TRAFİK ÇIKIŞLI 6900KM HATASIZ MİCRA;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2018-trafik-cikisli-6900km-hatasiz-micra-875388355/detay;2017;6900;Kırmızı;158750;TL;2020-11-01;İstanbul;Küçükçekmece;Nissan;Micra
10;İLK SAHİBİNDEN HATASIZ BOYASIZ SADECE 40.000 DE OTOMATİK VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-ilk-sahibinden-hatasiz-boyasiz-sadece-40.000-de-otomatik-vites-875379835/detay;2015;40000;Beyaz;143000;TL;2020-11-01;Kayseri;Kocasinan;Nissan;Micra
11;BOYASIZ HATASIZ TAM OTOMATİK NİSSAN MİCRA BENZİNLİ 22000 KMde;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-boyasiz-hatasiz-tam-otomatik-nissan-micra-benzinli-22000-kmde-875375662/detay;2017;22000;Kırmızı;158750;TL;2020-11-01;Çorum;Merkez;Nissan;Micra
12;İlk sahibinden 2013 28bin km'de micra platinum;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-ilk-sahibinden-2013-28bin-km-de-micra-platinum-875106262/detay;2013;28000;Beyaz;115000;TL;2020-11-01;Kayseri;Melikgazi;Nissan;Micra
13;Sahibibden tertemiz Micra;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-sahibibden-tertemiz-micra-875362371/detay;2006;197000;Yeşil;64500;TL;2020-11-01;İstanbul;Maltepe;Nissan;Micra
14;düşük km temiz nissan micra;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-dusuk-km-temiz-nissan-micra-875279749/detay;2017;66000;Mavi;147000;TL;2020-11-01;Ankara;Mamak;Nissan;Micra
15;2008 MODEL NİSSAN MICRA 1.2 BENZİN;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2008-model-nissan-micra-1.2-benzin-875344053/detay;2008;160000;Siyah;63000;TL;2020-11-01;Yalova;Çiftlikköy;Nissan;Micra
16;Sahibinden Bakımlı Temiz 2006 Micra;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-sahibinden-bakimli-temiz-2006-micra-875331179/detay;2006;166000;Siyah;64000;TL;2020-11-01;Ankara;Etimesgut;Nissan;Micra
17;2013 model micra 1.2 puzzle masrafsız ve bakımlı;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2013-model-micra-1.2-puzzle-masrafsiz-ve-bakimli-871224520/detay;2013;70000;Beyaz;94750;TL;2020-11-01;Bursa;Osmangazi;Nissan;Micra
18;PAŞA AUTO EXPERLİ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-pasa-auto-experli-867697717/detay;2005;162000;Bej;56500;TL;2020-11-01;Hatay;İskenderun;Nissan;Micra
19;Öğretmenden ÇOK ACİL SATILIK 2016 model Nissan Micra;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-ogretmenden-cok-acil-satilik-2016-model-nissan-micra-875322646/detay;2016;33300;Beyaz;137500;TL;2020-11-01;Konya;Selçuklu;Nissan;Micra
20;Nissan Micra 1.2 Mood - Su Yeşili;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-nissan-micra-1.2-mood-su-yesili-875323197/detay;2006;216000;Yeşil;58500;TL;2020-11-01;İstanbul;Bakırköy;Nissan;Micra
21;İLK SAHİBİNDEN HATASIZ BOYASIZ...;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-ilk-sahibinden-hatasiz-boyasiz-875321711/detay;2017;38000;Beyaz;162000;TL;2020-11-01;Sinop;Merkez;Nissan;Micra
22;NİSSAN MİCRA, 1.2 TECNA OTOMATIK KAZASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-nissan-micra-1.2-tecna-otomatik-kazasiz-875309196/detay;2011;69500;Kırmızı;121500;TL;2020-11-01;Trabzon;Ortahisar;Nissan;Micra
23;KLİMALI NİSSAN MİCRA TAM OTOMATİK VİTES BAYANDAN;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-klimali-nissan-micra-tam-otomatik-vites-bayandan-875310261/detay;1997;191000;Turkuaz;47950;TL;2020-11-01;Antalya;Muratpaşa;Nissan;Micra
24;Bayan Arabası Micra Dijital Klima Anahtarsız Çaliştirma Vss;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-bayan-arabasi-micra-dijital-klima-anahtarsiz-calistirma-vss-875305753/detay;2004;138000;Sarı;69750;TL;2020-11-01;Balıkesir;Gönen;Nissan;Micra
25;ŞAHBAZ OTOMOTİV DEN NİSSAN MİCRA 1.2 MATCH 49.000 KM DE;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-sahbaz-otomotiv-den-nissan-micra-1.2-match-49.000-km-de-867038200/detay;2017;49000;Kırmızı;143500;TL;2020-11-01;Ankara;Akyurt;Nissan;Micra
26;Nissan Micra;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-nissan-micra-875167076/detay;2004;189000;Siyah;70000;TL;2020-11-01;Bursa;Mudanya;Nissan;Micra
27;2017 MİCARA 1.2 STREET OTOMATİK "BOYASIZ" SEDEF BEYAZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2017-micara-1.2-street-otomatik-boyasiz-sedef-beyaz-871863097/detay;2017;32000;Beyaz;149900;TL;2020-11-01;İstanbul;Üsküdar;Nissan;Micra
28;2015 NİSSAN MİCRA 18 BİNDE BOYASIZ .SERVİS BAKIMLI..TAM OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2015-nissan-micra-18-binde-boyasiz-servis-bakimli..tam-otomatik-856294739/detay;2015;18000;Beyaz;146500;TL;2020-11-01;Antalya;Kepez;Nissan;Micra
29;2015 MODEL 26000 KM HATASIZ BOYASIZ HASAR KAYITSIZ TERTEMİZ ARAÇ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2015-model-26000-km-hatasiz-boyasiz-hasar-kayitsiz-tertemiz-arac-867615944/detay;2015;26600;Yeşil;138750;TL;2020-11-01;Mersin;Yenişehir;Nissan;Micra
30;BOYASIZ SADECE 12.000 KM DE SIFIR KADAR ÇOK AMA ÇOK TEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-boyasiz-sadece-12.000-km-de-sifir-kadar-cok-ama-cok-temiz-875284888/detay;2017;12000;Kırmızı;158500;TL;2020-11-01;İstanbul;Bağcılar;Nissan;Micra
31;ENGİNYURT = 2006 NİSSAN MİCRA 1.2 MOOD KLİMA ABS AİRBAG;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-enginyurt-2006-nissan-micra-1.2-mood-klima-abs-airbag-846247556/detay;2006;172000;Yeşil;65750;TL;2020-11-01;Ordu;Altınordu;Nissan;Micra
32;ALDATMAZ OTOPORTTAN 2016 MİCRA MATCH BENZİN OTOM. 87BİN KMDE;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-aldatmaz-otoporttan-2016-micra-match-benzin-otom-87bin-kmde-867393753/detay;2016;87450;Kırmızı;135900;TL;2020-11-01;İstanbul;Esenyurt;Nissan;Micra
33;İLK SAHİBİNDEN SERVİS BAKIMLI MİCRA;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-ilk-sahibinden-servis-bakimli-micra-875270615/detay;2016;77500;Kırmızı;136000;TL;2020-11-01;Ankara;Keçiören;Nissan;Micra
34;HATASIZ BOYASIZ TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-hatasiz-boyasiz-tramersiz-875270767/detay;2014;43000;Beyaz;135500;TL;2020-11-01;Mersin;Yenişehir;Nissan;Micra
35;2011 MİKRA OTOMATİK 96BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2011-mikra-otomatik-96bin-km-875238839/detay;2011;96000;Beyaz;109750;TL;2020-11-01;Antalya;Serik;Nissan;Micra
36;55 BİN KM DE OTOMATİK NİSSAN MİCRA;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-55-bin-km-de-otomatik-nissan-micra-867477208/detay;2015;55000;Beyaz;136500;TL;2020-11-01;İstanbul;Bakırköy;Nissan;Micra
37;GOLD LİFE AUTO'DAN 1.4 NİSSAN MİCRA TEKNA TSE EXPER RAPORLU;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-gold-life-auto-dan-1.4-nissan-micra-tekna-tse-exper-raporlu-827735250/detay;2005;191000;Mavi;62700;TL;2020-10-31;Kocaeli;İzmit;Nissan;Micra
38;OTOMiX | 2005 NİSSAN MICRA TAM OTOMATİK. ÇOK TEMİZ, FULL+FULL;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-otomix-2005-nissan-micra-tam-otomatik-cok-temiz-full-plusfull-844036540/detay;2005;132000;Siyah;91900;TL;2020-10-31;Bursa;Nilüfer;Nissan;Micra
39;KOPUZ OTODAN SIFIR KM HEMEN TESLİM NİSSAN MİCRA OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-kopuz-otodan-sifir-km-hemen-teslim-nissan-micra-otomatik-873377393/detay;2020;0;Beyaz;185750;TL;2020-10-31;Rize;Merkez;Nissan;Micra
40;ERDOST'DAN 2017 NİSSAN MİCRA MATC OTOMATİK..HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-erdost-dan-2017-nissan-micra-matc-otomatik..hatasiz-867404568/detay;2017;36000;Beyaz;152500;TL;2020-10-31;Eskişehir;Odunpazarı;Nissan;Micra
41;2000 Model 194,ooo Km Hasar Kayıtsız Klima Cvt Tam Otomatik!;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2000-model-194%2Cooo-km-hasar-kayitsiz-klima-cvt-tam-otomatik-875192569/detay;2000;194000;Beyaz;59750;TL;2020-10-31;Kocaeli;Gebze;Nissan;Micra
42;ERZİNCAN BERAT OTOMOTİV DEN TEMİZ 2003 NİSSAN MİCRA;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-erzincan-berat-otomotiv-den-temiz-2003-nissan-micra-860432211/detay;2003;185000;Gri;68500;TL;2020-10-31;Erzincan;Merkez;Nissan;Micra
43;SYF PLAZA'DAN 2005 NISSAN MİCRA;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-syf-plaza-dan-2005-nissan-micra-856480112/detay;2005;128000;Kırmızı;68500;TL;2020-10-31;Kahramanmaraş;Dulkadiroğlu;Nissan;Micra
44;Dusuk Kilometre Micra 1.2 Passion;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-dusuk-kilometre-micra-1.2-passion-875180267/detay;2008;76000;Mavi;89000;TL;2020-10-31;İzmir;Urla;Nissan;Micra
45;2016 NISSAN MICRA 1.2 MATCH TAM OTOMATİK 44,000 KM HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-2016-nissan-micra-1.2-match-tam-otomatik-44%2C000-km-hatasiz-875179078/detay;2016;44000;Kırmızı;152000;TL;2020-10-31;Bursa;Nilüfer;Nissan;Micra
46;NİŞAN AUTO 2017 MODEL MİCRA OTOMATİK HATASIZ BOYASIZ 52.000 KM..;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-nisan-auto-2017-model-micra-otomatik-hatasiz-boyasiz-52.000-km-875178494/detay;2017;52000;Kırmızı;142750;TL;2020-10-31;İstanbul;Bağcılar;Nissan;Micra
47;TERTEMİZ SORUNSUZ ORJİNAL 154 BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-tertemiz-sorunsuz-orjinal-154-bin-km-875173477/detay;2004;154000;Siyah;67500;TL;2020-10-31;Konya;Ereğli;Nissan;Micra
48;DCar Otomotiv'den 2017 NİSSAN Micra Match 19.000Km'de;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-dcar-otomotiv-den-2017-nissan-micra-match-19.000km-de-875176639/detay;2017;19000;Kırmızı;163900;TL;2020-10-31;Bursa;Nilüfer;Nissan;Micra
49;TERTEMİZ NİSSAN MİCRA 1.3 GX 1996;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-tertemiz-nissan-micra-1.3-gx-1996-875171308/detay;1996;210000;Mavi;37500;TL;2020-10-31;Adana;Seyhan;Nissan;Micra
50;sahibinden temiz 34. 000 bin km Micra Otomatik;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-sahibinden-temiz-34-000-bin-km-micra-otomatik-875168859/detay;2015;34000;Beyaz;137000;TL;2020-10-31;İstanbul;Beylikdüzü;Nissan;Micra
51;Hatasız 2020 micra seramik kaplamalı;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-hatasiz-2020-micra-seramik-kaplamali-875170022/detay;2020;3603;Beyaz;198000;TL;2020-10-31;İstanbul;Zeytinburnu;Nissan;Micra
52;HATASIZ OTOMATİK 2017 NİSSAN MİCRA 1.2 MATCH;https://www.sahibinden.com/ilan/vasita-otomobil-nissan-hatasiz-otomatik-2017-nissan-micra-1.2-match-875168269/detay;2017;50000;Kırmızı;153500;TL;2020-10-31;Giresun;Merkez;Nissan;Micra
