caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;sanrofff lu degisensiz emsalsiz;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sanrofff-lu-degisensiz-emsalsiz-874861429/detay;2012;90000;Beyaz;178000;TL;2020-10-30;Ankara;Keçiören;Opel;Insignia
2;GÖKTAŞLAR'DAN 2017 OPEL İNSİGNİA 1.6 CDTI GRAND SPORT DESİNG;https://www.sahibinden.com/ilan/vasita-otomobil-opel-goktaslar-dan-2017-opel-insignia-1.6-cdti-grand-sport-desing-871187058/detay;2017;77000;Gri;269900;TL;2020-10-29;Ankara;Akyurt;Opel;Insignia
3;AYAZ OTOMOTİV HATASIZ BOYASIZ TRAMERSİZ COSMO 96.000KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ayaz-otomotiv-hatasiz-boyasiz-tramersiz-cosmo-96.000km-874317639/detay;2015;96000;Beyaz;213500;TL;2020-10-27;İstanbul;Esenyurt;Opel;Insignia
4;Sahibinden Değişensiz Temiz Insignia;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-degisensiz-temiz-insignia-874294200/detay;2015;123000;Siyah;240000;TL;2020-10-27;Denizli;Merkezefendi;Opel;Insignia
5;2. SAHİBİNDEN OPC SPORT 2016 MODEL 120.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2-sahibinden-opc-sport-2016-model-120.000-km-874141977/detay;2016;121000;Gri;232000;TL;2020-10-26;Ankara;Etimesgut;Opel;Insignia
6;2009 MODEL OPEL INSIGNIA 1.6 BENZİN LPG'Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2009-model-opel-insignia-1.6-benzin-lpg-li-873778043/detay;2009;187000;Gri;119000;TL;2020-10-24;Yalova;Çiftlikköy;Opel;Insignia
7;SUNROOF + DİZEL OTOMATİK İNSİGNİA ** KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sunroof-plus-dizel-otomatik-insignia-kredi-imkani-873737360/detay;2011;201000;Siyah;153500;TL;2020-10-24;İstanbul;Beylikdüzü;Opel;Insignia
8;BZMMOTORS İNSİGNİA 1.6CDTİ GRAND SPORT EXCELLENCE 136HP 2017 MDL;https://www.sahibinden.com/ilan/vasita-otomobil-opel-bzmmotors-insignia-1.6cdti-grand-sport-excellence-136hp-2017-mdl-873723971/detay;2017;72500;Gümüş Gri;292000;TL;2020-10-24;İstanbul;Sarıyer;Opel;Insignia
9;( SUNROOF lu ) 2017 OPEL İNSİGNİA 1.6 CDTİ COSMO OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sunroof-lu-2017-opel-insignia-1.6-cdti-cosmo-otomatik-873577159/detay;2017;85000;Beyaz;239500;TL;2020-10-23;İzmir;Gaziemir;Opel;Insignia
10;SUNROOF+2020 İNSİGNİA 1.6 D EXCELL.+ELKTRK KOLTUKBAGAJ­+MASAJ+LED;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sunroof-plus2020-insignia-1.6-d-excell-pluselktrk-koltukbagaj-plusmasaj-plusled-869963722/detay;2020;0;Mavi;399999;TL;2020-10-23;İstanbul;Bağcılar;Opel;Insignia
11;2011 OPEL İNSİGNiA CTDİ EDiTİON OTOMATİK NANiGASYON +G.GÖRÜŞ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2011-opel-insignia-ctdi-edition-otomatik-nanigasyon-plusg.gorus-872052689/detay;2011;201000;Beyaz;133000;TL;2020-10-18;Gaziantep;Şehitkamil;Opel;Insignia
12;HAK MOTORS GÜVENCESİYLE 148.BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hak-motors-guvencesiyle-148.bin-km-871529052/detay;2014;148000;Beyaz;159750;TL;2020-10-16;İstanbul;Zeytinburnu;Opel;Insignia
13;OPEL INSİGNİA 2.0 CDTI EDİTİON 182.000KM OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-insignia-2.0-cdti-edition-182.000km-otomatik-870101484/detay;2011;182000;Siyah;143750;TL;2020-10-10;Konya;Karatay;Opel;Insignia
14;ÇAĞATAY AUTO 2019 OPEL INSIGNIA Ş.TAKİP E.BAGAJ KEYLES EASY OPEN;https://www.sahibinden.com/ilan/vasita-otomobil-opel-cagatay-auto-2019-opel-insignia-s.takip-e.bagaj-keyles-easy-open-869265878/detay;2019;21000;Beyaz;315000;TL;2020-10-07;İstanbul;Esenyurt;Opel;Insignia
15;ÖNDER AUTODAN 2011 İNSİGNA EDİTİON OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-onder-autodan-2011-insigna-edition-otomatik-875170218/detay;2011;325000;Beyaz;117000;TL;2020-10-31;Mardin;Kızıltepe;Opel;Insignia
16;ilk sahibinden insignia;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ilk-sahibinden-insignia-868252718/detay;2011;112000;Gri;160000;TL;2020-10-31;İstanbul;Kadıköy;Opel;Insignia
