caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;46 BİN DİZEL OTOMATİK LED CRUIS NAVİ PARKSENSÖRÜ NERGİSOTOMOTİV;https://www.sahibinden.com/ilan/vasita-otomobil-renault-46-bin-dizel-otomatik-led-cruis-navi-parksensoru-nergisotomotiv-875912693/detay;2017;46000;Siyah;175450;TL;2020-11-04;İstanbul;Bağcılar;Renault;Clio
2;2018 BOYASIZ HASAR KAYITSIZ YETKİLİ SERVİS BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2018-boyasiz-hasar-kayitsiz-yetkili-servis-bakimli-875667419/detay;2018;65000;Beyaz;139750;TL;2020-11-04;İstanbul;Bahçelievler;Renault;Clio
3;2018 CLİO STW DİZEL-63.000 KM-43.800 TL.PESİNLE 30 DK.DA KREDİ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-2018-clio-stw-dizel-63.000-km-43.800-tl.pesinle-30-dk.da-kredi-865148266/detay;2018;63000;Beyaz;139000;TL;2020-11-04;İstanbul;Avcılar;Renault;Clio
4;İSTEYENE 60 AY TAMAMINA YAKIN KREDİ İLE 2018 CLIO JOY HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-renault-isteyene-60-ay-tamamina-yakin-kredi-ile-2018-clio-joy-hatasiz-849385097/detay;2018;108000;Beyaz;132950;TL;2020-11-04;İstanbul;Bağcılar;Renault;Clio
5;YETKİLİ BAYİDEN GARANTİLİ | 2014 CLİO 1.2 16V JOY *HATASIZ*;https://www.sahibinden.com/ilan/vasita-otomobil-renault-yetkili-bayiden-garantili-2014-clio-1.2-16v-joy-hatasiz-875779307/detay;2014;154700;Beyaz;106900;TL;2020-11-03;İzmir;Gaziemir;Renault;Clio
6;YETKİLİ SERVİS BAKIMLI BOYASIZ 55.000 KM'DE CLİO 1.2 16V Touch;https://www.sahibinden.com/ilan/vasita-otomobil-renault-yetkili-servis-bakimli-boyasiz-55.000-km-de-clio-1.2-16v-touch-875764761/detay;2013;55000;Kırmızı;117000;TL;2020-11-03;İstanbul;Ataşehir;Renault;Clio
7;KAZASIZ 2015 MODEL;https://www.sahibinden.com/ilan/vasita-otomobil-renault-kazasiz-2015-model-875743607/detay;2015;187;Beyaz;109750;TL;2020-11-03;İstanbul;Kadıköy;Renault;Clio
8;Sahibinden 68.000 km de;https://www.sahibinden.com/ilan/vasita-otomobil-renault-sahibinden-68.000-km-de-872592074/detay;2014;68000;Beyaz;112000;TL;2020-11-03;İstanbul;Tuzla;Renault;Clio
9;HATASIZ 35 BİNDE BOYASIZ CRUIS LEDJANT SPORTOURER NERGİSOTOMOTİV;https://www.sahibinden.com/ilan/vasita-otomobil-renault-hatasiz-35-binde-boyasiz-cruis-ledjant-sportourer-nergisotomotiv-875690428/detay;2018;35000;Beyaz;189750;TL;2020-11-03;İstanbul;Bağcılar;Renault;Clio
10;İHTİYAÇTAN SATILIK 2020 MODEL 8BİN KMDE YENİ KASA CLİO 5;https://www.sahibinden.com/ilan/vasita-otomobil-renault-ihtiyactan-satilik-2020-model-8bin-kmde-yeni-kasa-clio-5-873720347/detay;2020;8000;Beyaz;144000;TL;2020-11-03;İstanbul;Kadıköy;Renault;Clio
