caption;link;year;km;color;price;price_unit;date;city;district
1;FIRSAT ARACI HATASIZ FULL SUNROOF R DESIGN;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-firsat-araci-hatasiz-full-sunroof-r-design-874593589/detay;2011;220000;Siyah;167000;TL;2020-10-28;Gaziantep;Şehitkamil
2;EKSTRA DONANIM KAZA BOYA YOK YETKİLİ SERVİS BAKIMLI KUSURSUZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ekstra-donanim-kaza-boya-yok-yetkili-servis-bakimli-kusursuz-863014264/detay;2016;74500;Beyaz;384500;TL;2020-10-19;İstanbul;Ataşehir
3;2015 135.000 KM VOLVO S60 ADVANCE;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2015-135.000-km-volvo-s60-advance-871329249/detay;2015;135000;Siyah;265000;TL;2020-10-15;Şanlıurfa;Haliliye
4;YILMAZLAR FESA_1.300KM_HAT­ASIZ_ISITMA_HAF­IZA_HAYALET_CİTY SAFETY;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-yilmazlar-fesa_1.300km_hatasiz_isitma_hafiza_hayalet_city-safety-868022835/detay;2018;1300;Beyaz;420000;TL;2020-10-03;Eskişehir;Odunpazarı
5;TÜRELİ OTOMOTİV den Volvo S60 1.6 D Premium;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-tureli-otomotiv-den-volvo-s60-1.6-d-premium-833235414/detay;2015;174000;Beyaz;226250;TL;2020-10-31;Denizli;Pamukkale
6;'0 FAİZ KAMPANYASI İLE'VOLVO 1.5 T3 ADVANCE GEARTRONIC HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-0-faiz-kampanyasi-ile-volvo-1.5-t3-advance-geartronic-hatasiz-856301700/detay;2016;92600;Beyaz;279000;TL;2020-10-31;Konya;Selçuklu
7;(0) HATA (0) BOYA;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-0-hata-0-boya-847513775/detay;2012;207000;Siyah;198000;TL;2020-10-31;Ankara;Etimesgut
8;TUNCERHAN OTOMOTİV 2018 VOLVO 1.5 T3 PREMİUM;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-tuncerhan-otomotiv-2018-volvo-1.5-t3-premium-875081895/detay;2018;32000;Siyah;313500;TL;2020-10-31;Denizli;Merkezefendi
9;RUŞAN Otomotivden 2012 Volvo S60 1.6 D R-Design Full+Full;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-rusan-otomotivden-2012-volvo-s60-1.6-d-r-design-full-plusfull-875076937/detay;2012;174000;Beyaz;207500;TL;2020-10-31;Kocaeli;Gebze
10;BAYAN AKADEMİSYENDEN SORUNSUZ TERTEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-bayan-akademisyenden-sorunsuz-tertemiz-874993081/detay;2015;140000;Siyah;208000;TL;2020-10-31;Kocaeli;Kartepe
11;ÖĞRETMENDEN DÜŞÜK KM-DEĞİŞENSİZ S60-DERİ KOLTUK-DİZEL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ogretmenden-dusuk-km-degisensiz-s60-deri-koltuk-dizel-otomatik-871293573/detay;2014;84000;Beyaz;207000;TL;2020-10-31;Ankara;Çankaya
12;SAHİBİNDEN S60 DİZEL OTOMATİK,ADVAN­CE.HATASIZ,İÇİ BEJ,TEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-s60-dizel-otomatik%2Cadvance.hatasiz%2Cici-bej%2Ctemiz-835088479/detay;2014;145000;Beyaz;269000;TL;2020-10-31;Manisa;Şehzadeler
13;2014 VOLVO S60 1.6 D2 PREMİUM OTOMATİK-DERİ KOLTUK-18JANT-LED;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2014-volvo-s60-1.6-d2-premium-otomatik-deri-koltuk-18jant-led-867090609/detay;2014;160000;Beyaz;215750;TL;2020-10-30;İstanbul;Bağcılar
14;ÖZDEMİR OTOMOTİV'DEN 2013 ÇIKIŞLI VOLVO S60 POWERSHİFT;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ozdemir-otomotiv-den-2013-cikisli-volvo-s60-powershift-875005828/detay;2012;239500;Beyaz;184500;TL;2020-10-30;Antalya;Muratpaşa
15;MAKYAJLI KASA NOKTA HATASIZ MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-makyajli-kasa-nokta-hatasiz-masrafsiz-864887325/detay;2013;159000;Beyaz;225000;TL;2020-10-30;Diyarbakır;Kayapınar
16;ACİL 2012(2013ÇIKIŞ) YENİ VOLVO S60 1.6D D2/PREMİUM/­TABA/HAFIZA;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-acil-2012-2013cikis-yeni-volvo-s60-1.6d-d2-premium-taba-hafiza-873222771/detay;2012;188000;Beyaz;190000;TL;2020-10-30;Aydın;Didim
17;2014 çıkışlı makyajlı kasa S60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2014-cikisli-makyajli-kasa-s60-874991400/detay;2013;123000;Beyaz;250000;TL;2020-10-30;Ankara;Çankaya
18;2012 MODEL VOLVO S60 1.6 D ADVANCE OTM TABA DERİ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2012-model-volvo-s60-1.6-d-advance-otm-taba-deri-874977556/detay;2012;225000;Beyaz;178500;TL;2020-10-30;Osmaniye;Merkez
19;Bakımları yapılmış masrafsız;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-bakimlari-yapilmis-masrafsiz-866532532/detay;2011;108000;Gümüş Gri;179000;TL;2020-10-30;Düzce;Merkez
20;2013 model otomatik 1 6 es 60 volvo de 2;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2013-model-otomatik-1-6-es-60-volvo-de-2-866963660/detay;2013;198886;Siyah;182444;TL;2020-10-30;İstanbul;Ümraniye
21;2004 MODEL VOLVO S60 T5 FİŞEK GİBİ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2004-model-volvo-s60-t5-fisek-gibi-874975013/detay;2004;333000;Gümüş Gri;88000;TL;2020-10-30;Samsun;İlkadım
22;2014 S60 1.6 D2 115 HP PREMIUM POWERSHIFT BEYAZ RENK !!!;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2014-s60-1.6-d2-115-hp-premium-powershift-beyaz-renk-866995673/detay;2014;232300;Beyaz;207000;TL;2020-10-30;Denizli;Sarayköy
23;2011+S60 +R DESİNG GÖRÜNÜM+163 HP+SUNROF+DER İ+HAFIZA+159 BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2011-pluss60-plusr-desing-gorunum-plus163-hp-plussunrof-plusderi-plushafiza-plus159-bin-km-874964690/detay;2011;159000;Kırmızı;203500;TL;2020-10-30;Adana;Seyhan
24;SANRUUF ISITMA ELEKTRİK HAFIZA TAM DOLU LPG Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sanruuf-isitma-elektrik-hafiza-tam-dolu-lpg-li-874851340/detay;2005;279000;Bordo;88000;TL;2020-10-30;Diyarbakır;Bağlar
25;SAHİBİNDEN 2014 MODEL VOLVO;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-2014-model-volvo-874928243/detay;2014;80000;Beyaz;169000;TL;2020-10-30;İstanbul;Ümraniye
26;MEMURDAN TEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-memurdan-temiz-852949363/detay;2001;279000;Gümüş Gri;72000;TL;2020-10-30;Ankara;Yenimahalle
27;2013 hatasız;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2013-hatasiz-874932707/detay;2013;238000;Beyaz;215000;TL;2020-10-30;Ağrı;Doğubayazıt
28;2011 MODEL S 60 VOLVO EMSALLERİNİN EN DOLUSU VE EN TEMİZİ HATSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2011-model-s-60-volvo-emsallerinin-en-dolusu-ve-en-temizi-hatsiz-874914424/detay;2011;165000;Gri;163000;TL;2020-10-30;Kocaeli;Gebze
29;2012 VOLVO S60 SADECE İKİ 2 PARÇA BOYALI;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2012-volvo-s60-sadece-iki-2-parca-boyali-874913082/detay;2012;204000;Beyaz;179900;TL;2020-10-30;Kayseri;Kocasinan
30;Gökhan Otomotivden Satılık Volvo S60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-gokhan-otomotivden-satilik-volvo-s60-874896247/detay;2012;154369;Bej;205000;TL;2020-10-30;Tekirdağ;Çorlu
31;SAHİBİNDEN 2012 VOLVO S60;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-2012-volvo-s60-874849517/detay;2012;114000;Beyaz;215000;TL;2020-10-30;İstanbul;Pendik
32;ilk gelen alir;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ilk-gelen-alir-874848128/detay;2015;92000;Beyaz;240000;TL;2020-10-30;Mersin;Mezitli
33;::: 2011 DIZEL VOLVO S60 & EN FULL MODELI & TEMIZ BAKIMLI :::;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2011-dizel-volvo-s60-en-full-modeli-temiz-bakimli-866743615/detay;2011;204000;Şampanya;179000;TL;2020-10-30;Amasya;Merkez
34;S60 volvo 146 bin klometrede içi bej;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-s60-volvo-146-bin-klometrede-ici-bej-837012047/detay;2014;150000;Siyah;187500;TL;2020-10-30;İstanbul;Sultanbeyli
35;DUSUK KM Lİ İSVEC TANKİ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-dusuk-km-li-isvec-tanki-866609389/detay;2011;143000;Gri;145500;TL;2020-10-29;Hatay;İskenderun
36;hatasız kazasiz tertemiz masrafsiz;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-hatasiz-kazasiz-tertemiz-masrafsiz-874842731/detay;2015;119000;Siyah;228000;TL;2020-10-29;İstanbul;Bağcılar
