caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;KAZASIZ MAKYAJLI FULL YETKİLİ SERVİS BAKIMLI COROLLA EKSTRALI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-kazasiz-makyajli-full-yetkili-servis-bakimli-corolla-ekstrali-862200155/detay;2016;75000;Beyaz;184500;TL;2020-11-03;İstanbul;Bağcılar;Toyota;Corolla
2;DEGİSENSİZ 2017 DİZEL-OTOMATİK DÜŞÜK KM YETKİLİ SERVİS BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-degisensiz-2017-dizel-otomatik-dusuk-km-yetkili-servis-bakimli-875552209/detay;2017;56000;Beyaz;189900;TL;2020-11-02;İstanbul;Bağcılar;Toyota;Corolla
3;COROLLA VİSİON 2020 EXTRALI+APPLE CAR+GERİ GRŞ+NAVGSY+SİS FAR;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-corolla-vision-2020-extrali-plusapple-car-plusgeri-grs-plusnavgsy-plussis-far-875522697/detay;2020;37;Mavi;234900;TL;2020-11-02;Sakarya;Serdivan;Toyota;Corolla
4;52 BİNDE DİJİTALKLİMA LED GERİGÖRÜŞ F1 KATLANAYNA NERGİSOTOMOTİV;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-52-binde-dijitalklima-led-gerigorus-f1-katlanayna-nergisotomotiv-875430197/detay;2017;52000;Beyaz;193950;TL;2020-11-02;İstanbul;Bağcılar;Toyota;Corolla
5;ŞÖLEN MOTORS FARkı İLE 53.000 km HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-solen-motors-farki-ile-53.000-km-hatasiz-875323655/detay;2017;53000;Beyaz;157000;TL;2020-11-01;Sakarya;Adapazarı;Toyota;Corolla
6;MİRAÇ OTOMOTİVDEN 2015 TOYOTA COROLLA 1.4 D-4D ADVANCE 90HP M/M;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-mirac-otomotivden-2015-toyota-corolla-1.4-d-4d-advance-90hp-m-m-875319355/detay;2015;98000;Siyah;173500;TL;2020-11-01;Tekirdağ;Çerkezköy;Toyota;Corolla
7;TAM_OTOMATİK_LPG_14­0_BİN_KM_SOL_PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tam_otomatik_lpg_140_bin_km_sol_paket-875213710/detay;2005;140000;Siyah;79900;TL;2020-10-31;Kocaeli;Gebze;Toyota;Corolla
8;ANINDA KREDİ İMKANI KREDİ KARTINA % 0 KOMİSYON TAKSİT İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-aninda-kredi-imkani-kredi-kartina-0-komisyon-taksit-imkani-875137985/detay;2016;80764;Beyaz;199750;TL;2020-10-31;Eskişehir;Odunpazarı;Toyota;Corolla
9;HATASIZ_OTOMATİK_VİT­ES_FAR_YIKAMA_TOYOTA­_COROLLA_COMFORT_EXT;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz_otomatik_vites_far_yikama_toyota_corolla_comfort_ext-875117277/detay;2011;211000;Gri;117750;TL;2020-10-31;Kocaeli;Körfez;Toyota;Corolla
10;TOYOTA PLAZA AYKON OTOMOTİVDEN ANINDA KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-plaza-aykon-otomotivden-aninda-kredi-imkani-875102929/detay;2016;121000;Beyaz;179500;TL;2020-10-31;Kocaeli;Gebze;Toyota;Corolla
11;TOYOTA PLAZA AYKON OTOMOTİVDEN ANINDA KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-plaza-aykon-otomotivden-aninda-kredi-imkani-875090863/detay;2020;13000;Gri;294000;TL;2020-10-31;Kocaeli;Gebze;Toyota;Corolla
