caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;Tr 'de tek pırıl pırıl klimalı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tr-de-tek-piril-piril-klimali-875165700/detay;1985;259500;Bej;35500;TL;2020-10-31;İzmir;Buca;Toyota;Corona
2;TEZCAN OTODAN 1990 ÇEKME BELGELİ MOTOR ARIZALI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tezcan-otodan-1990-cekme-belgeli-motor-arizali-875163137/detay;1990;255555;Beyaz;9750;TL;2020-10-31;İzmir;Menemen;Toyota;Corona
3;BENZIN LPG EFSANE;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-benzin-lpg-efsane-875103005/detay;1993;3e+05;Kahverengi;29500;TL;2020-10-31;Tekirdağ;Çorlu;Toyota;Corona
4;TEMİZ AİLE ARACI CORONA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-aile-araci-corona-875100293/detay;1993;299999;Bordo;30500;TL;2020-10-31;Tekirdağ;Çorlu;Toyota;Corona
5;bu km de bulmanız imkansız;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-bu-km-de-bulmaniz-imkansiz-874857176/detay;1991;2e+05;Füme;30000;TL;2020-10-29;Muğla;Bodrum;Toyota;Corona
6;DEĞERİNİ BİLENE TOYOTA CORONA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-degerini-bilene-toyota-corona-874735761/detay;1993;320000;Beyaz;31500;TL;2020-10-29;Konya;Karatay;Toyota;Corona
7;corona 2.0 gli;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-corona-2.0-gli-856113390/detay;1993;267000;Şampanya;39000;TL;2020-10-29;Ankara;Yenimahalle;Toyota;Corona
8;Memurdan temiz satılık 1993 TOYOTA CORONA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-memurdan-temiz-satilik-1993-toyota-corona-875011635/detay;1993;250000;Beyaz;35000;TL;2020-10-30;Aydın;Efeler;Toyota;Corona
9;Otomatık klımalı LPG'li;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-otomatik-klimali-lpg-li-875009113/detay;1990;275000;Beyaz;30500;TL;2020-10-30;Manisa;Soma;Toyota;Corona
10;OTOMATİK VİTES SORUNSUZ TEMİZ CORONA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-otomatik-vites-sorunsuz-temiz-corona-874573993/detay;1993;226000;Yeşil;35750;TL;2020-10-28;Osmaniye;Düziçi;Toyota;Corona
11;Toyota Corona Fırsat Aracı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-corona-firsat-araci-874559063/detay;1990;175;Kırmızı;35000;TL;2020-10-28;Sivas;Şarkışla;Toyota;Corona
12;BU PARAYA BU ARAÇ KAÇMAZ 1993 CORONNA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-makina-satista-1993-coronna-874530162/detay;1993;260000;Şampanya;36000;TL;2020-10-28;Amasya;Suluova;Toyota;Corona
13;Full+full otomatik;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-full-plusfull-otomatik-874417771/detay;1991;375000;Sarı;42000;TL;2020-10-28;İstanbul;Küçükçekmece;Toyota;Corona
14;Orjinal hatasız Toyota Corona;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-orjinal-hatasiz-toyota-corona-874787420/detay;1993;226000;Beyaz;58500;TL;2020-10-30;İstanbul;Silivri;Toyota;Corona
15;TOYOTA CORONA 1.6 XL KLİMALI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-corona-1.6-xl-klimali-866733220/detay;1988;390000;Kahverengi;24750;TL;2020-10-29;İstanbul;Arnavutköy;Toyota;Corona
16;TEMİZ AİLE ARABASI 2,0GLİ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-aile-arabasi-2%2C0gli-875203127/detay;1994;285000;Yeşil;32000;TL;2020-10-31;Ankara;Altındağ;Toyota;Corona
17;Beyaz Toyota Temiz;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-beyaz-toyota-temiz-874817949/detay;1991;373000;Beyaz;51500;TL;2020-10-29;Aydın;Efeler;Toyota;Corona
18;Otomatik Corona 2.0 GLİ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-otomatik-corona-2.0-gli-874318241/detay;1994;245000;Beyaz;29500;TL;2020-10-27;Adana;Yüreğir;Toyota;Corona
19;4 cam otomatik klimali corona;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-4-cam-otomatik-klimali-corona-874590152/detay;1992;270000;Beyaz;42000;TL;2020-10-28;Amasya;Suluova;Toyota;Corona
