caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;AYDAR'DAN SPORTİF GÖRÜNÜMLÜ ÖZEL DÖŞEMELİ GOLF;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sportif-gorunumlu-ozel-dosemeli-golf-875272891/detay;2012;195000;Beyaz;151500;TL;2020-11-01;Mardin;Artuklu;Volkswagen;Golf
2;BOYASIZ&STAGE2&İLK SAHİBİNDEN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-boyasiz-stage2-ilk-sahibinden-875204689/detay;2015;82000;Kırmızı;272000;TL;2020-10-31;Çorum;Merkez;Volkswagen;Golf
3;ilk günkü temizliklte boyasız hatasız hasar kayıtsız;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-gunku-temizliklte-boyasiz-hatasiz-hasar-kayitsiz-875170319/detay;2012;1e+05;Beyaz;185900;TL;2020-10-31;Manisa;Salihli;Volkswagen;Golf
4;_MY GALLERY_OTOMATİK 2012 VW GOLF 1.6TDİ HIGHLİNE 110BİN KM LEDL;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-my-gallery_otomatik-2012-vw-golf-1.6tdi-highline-110bin-km-ledl-872245825/detay;2012;110000;Mavi;175950;TL;2020-10-30;Eskişehir;Odunpazarı;Volkswagen;Golf
5;2012 MODEL VOLKSWAGEN GOLF 1.6 TDI TRAMERSİZ , DEĞİŞENSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2012-model-volkswagen-golf-1.6-tdi-tramersiz-degisensiz-874934476/detay;2012;232000;Beyaz;126500;TL;2020-10-30;Antalya;Kepez;Volkswagen;Golf
6;2018 WW GOLF 1.6 TDI COMFORTLINE DSG DİZEL OTOMATİK 68.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2018-ww-golf-1.6-tdi-comfortline-dsg-dizel-otomatik-68.000-km-874926710/detay;2018;68000;Beyaz;265000;TL;2020-10-30;Zonguldak;Ereğli;Volkswagen;Golf
7;2014 GOLF HIGLINE CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2014-golf-higline-cam-tavan-870328394/detay;2014;103085;Gri;192000;TL;2020-10-30;İstanbul;Gaziosmanpaşa;Volkswagen;Golf
8;ACİL GOLF 7,5 DEGİSENSİZ TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-acil-golf-7%2C5-degisensiz-tramersiz-874855643/detay;2017;60000;Beyaz;287500;TL;2020-10-29;İstanbul;Esenler;Volkswagen;Golf
9;2015 Model Hatasız Boyasız Değışensiz Kayıtsız DSG Highline;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2015-model-hatasiz-boyasiz-degisensiz-kayitsiz-dsg-highline-874844585/detay;2015;108000;Beyaz;235750;TL;2020-10-29;Antalya;Manavgat;Volkswagen;Golf
10;CAMTVN+ÖNARKALED+C­ARPLAY+LANSMANREN­Gİ+HATASIZ+BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-camtvn-plusonarkaled-pluscarplay-pluslansmanrengi-plushatasiz-plusboyasiz-874821643/detay;2019;16000;Bordo;343500;TL;2020-10-29;Adana;İmamoğlu;Volkswagen;Golf
