caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;YETKİLİ SERVİSTEN 2012 VW POLO 1.4 TSİ MANUEL COMFORTLİNE 75 KM;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-yetkili-servisten-2012-vw-polo-1.4-tsi-manuel-comfortline-75-km-875279823/detay;2012;75000;Beyaz;130000;TL;2020-11-01;Kocaeli;Darıca;Volkswagen;Polo
2;SIFIR KM BEYAZ VE KIRMIZI MAKYAJLI SANROFLU 2020 POLO COMFORTLİN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sifir-km-beyaz-ve-kirmizi-makyajli-sanroflu-2020-polo-comfortlin-875279215/detay;2020;0;Kırmızı;249000;TL;2020-11-01;Ankara;Akyurt;Volkswagen;Polo
3;SIFIR KMBEYAZ VEKIRMIZI MAKYAJLI YENİ KASA 2020 POLO COMFORTLİNE;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sifir-kmbeyaz-vekirmizi-makyajli-yeni-kasa-2020-polo-comfortline-875277999/detay;2020;0;Beyaz;237000;TL;2020-11-01;Ankara;Akyurt;Volkswagen;Polo
4;WOLKWAGEN 1.2 DİZEL POLO ** KREDİ İMKANI;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-wolkwagen-1.2-dizel-polo-kredi-imkani-875163494/detay;2012;192000;Füme;89500;TL;2020-10-31;İstanbul;Beylikdüzü;Volkswagen;Polo
5;VOLKSWAGEN POLO YENİ NESİL DİZEL 2016 MODEL ÇOK TEMİZ ARABA;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-volkswagen-polo-yeni-nesil-dizel-2016-model-cok-temiz-araba-875144714/detay;2016;144000;Beyaz;127500;TL;2020-10-31;İstanbul;Beylikdüzü;Volkswagen;Polo
6;2012 OTOMATİK POLO Tramersiz 71bin KM DAHA UCUZ YOK;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2012-otomatik-polo-tramersiz-71bin-km-daha-ucuz-yok-867051214/detay;2012;71000;Beyaz;120000;TL;2020-10-30;Mersin;Toroslar;Volkswagen;Polo
7;-Can'dan Polo Trendline. Periyodik Bakımlı Ekspertizli;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-can-dan-polo-trendline-periyodik-bakimli-ekspertizli-874985210/detay;2012;101000;Beyaz;99000;TL;2020-10-30;Çanakkale;Merkez;Volkswagen;Polo
8;!!EN UYGUN+HATASIZ+BO­YASIZ+DEĞİŞENSİZ+­TRAMERSİZ+SERVİS BAKMLI!!;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-en-uygun-plushatasiz-plusboyasiz-plusdegisensiz-plustramersiz-plusservis-bakmli-874953098/detay;2019;43100;Beyaz;240900;TL;2020-10-30;Konya;Selçuklu;Volkswagen;Polo
9;2010 WOLKSWAGEN POLO 1.6 DİZEL;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2010-wolkswagen-polo-1.6-dizel-874908796/detay;2010;220000;Beyaz;82500;TL;2020-10-30;Antalya;Kepez;Volkswagen;Polo
10;HATASIZ EKSTRALI! AÇIKLAMAYI MUTLAKA OKUYUN!;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-ekstrali-aciklamayi-mutlaka-okuyun-874863570/detay;2016;107500;Beyaz;173900;TL;2020-10-30;Artvin;Merkez;Volkswagen;Polo
