caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;ALTINCABA'DAN 2014 WV SCİROCCO 1.4 TSİ SPORTLİNE OTOM. 100.800KM;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-altincaba-dan-2014-wv-scirocco-1.4-tsi-sportline-otom-100.800km-875568788/detay;2014;100800;Beyaz;2e+05;TL;2020-11-02;Konya;Karatay;Volkswagen;Scirocco
2;West Auto AirRide Rocco;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-west-auto-airride-rocco-875389199/detay;2012;136000;Beyaz;166500;TL;2020-11-01;Bursa;Nilüfer;Volkswagen;Scirocco
3;FULL EXTRALI ve BAKIMLI, MAKİNE MÜHENDİSİNDEN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-full-extrali-ve-bakimli-makine-muhendisinden-875376568/detay;2011;162000;Beyaz;143000;TL;2020-11-01;Samsun;Çarşamba;Volkswagen;Scirocco
4;HATASIZ+BOYASIZ+T­RAMERSİZ+DSG+CAM TAVAN+MERCEK FAR;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-plusboyasiz-plustramersiz-plusdsg-pluscam-tavan-plusmercek-far-875226477/detay;2013;109000;Beyaz;218000;TL;2020-11-01;Zonguldak;Merkez;Volkswagen;Scirocco
5;CYR Motors 2014 Model Volkswagen Scirocco Makyajlı 53.000 km;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-cyr-motors-2014-model-volkswagen-scirocco-makyajli-53.000-km-875176203/detay;2014;53000;Beyaz;202000;TL;2020-10-31;Bursa;Osmangazi;Volkswagen;Scirocco
6;VOLKSWAGEN scirocco 1.4TSI 2012 MODEL;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-volkswagen-scirocco-1.4tsi-2012-model-874496640/detay;2012;80000;Kırmızı;150000;TL;2020-10-28;İstanbul;Beşiktaş;Volkswagen;Scirocco
7;160HP 2012 CAM TAVAN OTOMATİK SCIROCCO DEĞİŞEN YOK 2.5 PARÇABOYA;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-160hp-2012-cam-tavan-otomatik-scirocco-degisen-yok-2.5-parcaboya-861550631/detay;2012;155000;Beyaz;152000;TL;2020-10-28;Niğde;Merkez;Volkswagen;Scirocco
8;HATASIZ SUNROOFLU ŞEHRİN HAYLAZI SATIŞTA;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-sunrooflu-sehrin-haylazi-satista-873533437/detay;2010;159000;Beyaz;162000;TL;2020-10-23;Burdur;Bucak;Volkswagen;Scirocco
9;sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-870963191/detay;2012;116000;Beyaz;139500;TL;2020-10-13;İstanbul;Sultangazi;Volkswagen;Scirocco
10;GARAGE 24/2014 SCİROCCO/160­HP-DSG/DÜŞÜK KM/CAM TAVAN/KREDİ TAKA;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-garage-24-2014-scirocco-160hp-dsg-dusuk-km-cam-tavan-kredi-taka-869801160/detay;2014;93000;Beyaz;219000;TL;2020-10-09;İstanbul;Bahçelievler;Volkswagen;Scirocco
11;YETKİLİ BAYİDEN GARANTİLİ | 2013 SCİROCCO 1.4 TSİ SPORTLİNE;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-yetkili-bayiden-garantili-2013-scirocco-1.4-tsi-sportline-867624534/detay;2013;1e+05;Beyaz;155900;TL;2020-10-02;İzmir;Gaziemir;Volkswagen;Scirocco
12;ADS GARAGE-2011 TRDE TEK AİR SCİROCCO OTOMATİK 60 PEŞİNLE VADELİ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ads-garage-2011-tr-de-tek-air-scirocco-otomatik-yapili-vade-olur-867310074/detay;2011;150000;Bej;125750;TL;2020-11-03;İstanbul;Bağcılar;Volkswagen;Scirocco
13;TEMİZ DEĞİŞENSİZ CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-temiz-degisensiz-cam-tavan-871797499/detay;2012;147300;Beyaz;159750;TL;2020-11-02;Rize;Pazar;Volkswagen;Scirocco
14;Sahibinden hatasız Full+Full Adaptif şase;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-hatasiz-full-plusfull-adaptif-sase-760480695/detay;2015;69000;Mavi;3e+05;TL;2020-11-02;Ankara;Çankaya;Volkswagen;Scirocco
15;BOYA-DEĞİŞEN-TRAMER YOK !!! - SCIROCCO DSG 160BG -;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-boya-degisen-tramer-yok-scirocco-dsg-160bg-871181175/detay;2012;99900;Beyaz;176500;TL;2020-11-02;İstanbul;Kadıköy;Volkswagen;Scirocco
16; Peak Motors  VW SCİROCCO 1.4 TSİ DSG SPORTLİNE CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-peak-motors-vw-scirocco-1.4-tsi-dsg-sportline-cam-tavan-875592416/detay;2011;162000;Beyaz;165000;TL;2020-11-02;İstanbul;Büyükçekmece;Volkswagen;Scirocco
17;BOYASIZ CAM TAVAN SCİROCCO. MUAYENE YENİ.;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-boyasiz-cam-tavan-scirocco-muayene-yeni-830138842/detay;2015;55000;Beyaz;250000;TL;2020-11-02;Trabzon;Ortahisar;Volkswagen;Scirocco
18;BSA MOTORS DAN VW SCİROCCO 1.4 TSI 160 HP DSG/XENON/CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-bsa-motors-dan-vw-scirocco-1.4-tsi-160-hp-dsg-xenon-cam-tavan-875589210/detay;2015;122000;Beyaz;2e+05;TL;2020-11-02;İstanbul;Büyükçekmece;Volkswagen;Scirocco
19;FIRSAT ARACI EN DOLUSU PERTSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-firsat-araci-en-dolusu-pertsiz-866272477/detay;2011;165000;Beyaz;130000;TL;2020-11-02;İstanbul;Küçükçekmece;Volkswagen;Scirocco
20;2012 1.4 SPORTLİNE CAM TAVAN EMSALSİZ TEMİZLİKTE SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2012-1.4-sportline-cam-tavan-emsalsiz-temizlikte-scirocco-875583216/detay;2012;150000;Beyaz;159900;TL;2020-11-02;Erzurum;Yakutiye;Volkswagen;Scirocco
21;SERHAT'taN 2013 VW SCİROCCO 1.4 TSİ SPORTLİNE 100.000 KM'de ORJ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-serhat-tan-2013-vw-scirocco-1.4-tsi-sportline-100.000-km-de-orj-875579001/detay;2013;1e+05;Beyaz;166500;TL;2020-11-02;Van;İpekyolu;Volkswagen;Scirocco
22;Bayram Fırsatı GTS;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-bayram-firsati-gts-845043899/detay;2013;242000;Beyaz;128000;TL;2020-11-02;Mersin;Tarsus;Volkswagen;Scirocco
23;''MAK AUTO'' 2013 SCIROCCO 1.4 TSI SPORTLINE DSG PANAROMİK+XENON;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-mak-auto-2013-scirocco-1.4-tsi-sportline-dsg-panaromik-plusxenon-875570639/detay;2013;68000;Siyah;205000;TL;2020-11-02;İstanbul;Bakırköy;Volkswagen;Scirocco
24;2013 VOLKSWAGEN SCİROCCO 1.4 TSİ SPORTLİNE 160 HP;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2013-volkswagen-scirocco-1.4-tsi-sportline-160-hp-875573470/detay;2013;151000;Beyaz;142500;TL;2020-11-02;İstanbul;Beykoz;Volkswagen;Scirocco
25;HATASIZ BOYASIZ TRAMERSİZ ÖZEL RENK DSG SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-tramersiz-ozel-renk-dsg-scirocco-875571048/detay;2015;119000;Mavi;249500;TL;2020-11-02;Ankara;Keçiören;Volkswagen;Scirocco
26;HATASIZ.. BOYASIZ.. 41 BİN KM.. CARPLAY.. CAM TAVAN..;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-41-bin-km-carplay-cam-tavan-875561768/detay;2016;41000;Kırmızı;329900;TL;2020-11-02;Manisa;Alaşehir;Volkswagen;Scirocco
27;Beyaz inci satışta.;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-beyaz-inci-satista-875332396/detay;2011;153000;Beyaz;166000;TL;2020-11-02;Amasya;Merkez;Volkswagen;Scirocco
28;ÖĞRETMENDEN TERTEMİZ 160lık, CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ogretmenden-tertemiz-160lik-cam-tavan-872276427/detay;2012;129000;Beyaz;158000;TL;2020-11-02;Ankara;Yenimahalle;Volkswagen;Scirocco
29;HATASIZ 1.5 parça boyalı 104 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-1.5-parca-boyali-104-binde-875538347/detay;2012;104000;Kırmızı;168500;TL;2020-11-02;Kırıkkale;Merkez;Volkswagen;Scirocco
30;HATASIZ- 2013;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-2013-875538745/detay;2013;158000;Beyaz;175500;TL;2020-11-02;İstanbul;Gaziosmanpaşa;Volkswagen;Scirocco
31;CAM TAVAN-U LED-SAVANNAH-BAŞARAN COİL-WAREX-BODY KİT-CAM FİLM;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-cam-tavan-u-led-savannah-basaran-coil-warex-body-kit-cam-film-875200289/detay;2015;119000;Beyaz;208750;TL;2020-11-02;İzmir;Karabağlar;Volkswagen;Scirocco
32;çok mu çok temiz scirocco;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-cok-mu-cok-temiz-scirocco-839207075/detay;2010;199000;Beyaz;124000;TL;2020-11-02;İstanbul;Ataşehir;Volkswagen;Scirocco
33;*HATASIZ*BOYASIZ­*TRAMERSİZ*SCİRO­CCO*OTOMATİK*160 BG*2.SAHİBİNDEN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-tramersiz-scirocco-otomatik-160-bg-2.sahibinden-875203323/detay;2010;170000;Gümüş Gri;163000;TL;2020-11-02;Kütahya;Merkez;Volkswagen;Scirocco
34;İLK SAHİBİNDEN HATASIZ CAM TAVAN 160PS DSG 14.000KM CTH FULL;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-hatasiz-cam-tavan-160ps-dsg-14.000km-cth-full-865948182/detay;2015;14000;Siyah;310000;TL;2020-11-02;İzmir;Karabağlar;Volkswagen;Scirocco
35;HATASIZ 2014 TRAFİK CIKIŞLI OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-2014-trafik-cikisli-otomatik-875497299/detay;2013;142000;Beyaz;179750;TL;2020-11-02;Antalya;Alanya;Volkswagen;Scirocco
36;HATASIZ - BOYASIZ - YAZILIMSIZ - CAM TAVANLI;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-yazilimsiz-cam-tavanli-875492800/detay;2010;151000;Beyaz;169750;TL;2020-11-02;Balıkesir;Bandırma;Volkswagen;Scirocco
37;YETKİLİ BAYİden 49.000₺ PEŞİN AYDA 3.100 TAKSİT 2013 VW SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-yetkili-bayiden-49.000-pesin-ayda-3.100-taksit-2013-vw-scirocco-875483937/detay;2013;132000;Lacivert;169750;TL;2020-11-02;İstanbul;Esenyurt;Volkswagen;Scirocco
38;HATASIZ,DEĞ İŞENSİZ,CAM TAVAN,KATLANIR AYNA;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz%2Cdegisensiz%2Ccam-tavan%2Ckatlanir-ayna-837819706/detay;2012;119000;Beyaz;160000;TL;2020-11-02;Denizli;Merkezefendi;Volkswagen;Scirocco
39;HASTASINA TERTEMİZ BEYAZ MELEK MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hastasina-tertemiz-beyaz-melek-masrafsiz-843581648/detay;2011;172000;Beyaz;130000;TL;2020-11-02;Nevşehir;Merkez;Volkswagen;Scirocco
40;GENERAL ZEYBEK PLAZA;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-general-zeybek-plaza-875463885/detay;2013;150000;Beyaz;139000;TL;2020-11-02;Kahramanmaraş;Dulkadiroğlu;Volkswagen;Scirocco
41;KARACA OTOMOTİV'den 2015 VW SCİROCCO 1.4 TSI SPORTLİNE DSG 160HP;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-karaca-otomotiv-den-2015-vw-scirocco-1.4-tsi-sportline-dsg-160hp-867735789/detay;2015;43000;Beyaz;306500;TL;2020-11-02;Giresun;Merkez;Volkswagen;Scirocco
42;Fabrikadan çıktığı gibi SCR 77;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-fabrikadan-ciktigi-gibi-scr-77-867758116/detay;2014;35250;Beyaz;229000;TL;2020-11-02;Bursa;Osmangazi;Volkswagen;Scirocco
43;2012 MODEL 1.4 TSI SCİROCCO 35.000 TL PEŞİNATLA ARAÇ SİZİN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2012-model-1.4-tsi-scirocco-35.000-tl-pesinatla-arac-sizin-875427614/detay;2012;199000;Beyaz;144500;TL;2020-11-02;İzmir;Buca;Volkswagen;Scirocco
44;Hatasız boyasız emsalsiz temizlikte Lansman Renk;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-emsalsiz-temizlikte-lansman-renk-875398216/detay;2014;101000;Kahverengi;263500;TL;2020-11-01;İstanbul;Gaziosmanpaşa;Volkswagen;Scirocco
45;HATASIZ *SADECE 49.500 KM*-2015 CAM TAVAN-DSG-U LED-160 BG-FULL-;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-sadece-49.500-km-2015-cam-tavan-dsg-u-led-160-bg-full-875397103/detay;2015;49000;Beyaz;280000;TL;2020-11-01;Kütahya;Tavşanlı;Volkswagen;Scirocco
46;otoban faresi;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-otoban-faresi-875384325/detay;2011;211000;Gri;140000;TL;2020-11-01;Muş;Bulanık;Volkswagen;Scirocco
47;2013 - OTOMATİK - CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2013-otomatik-cam-tavan-875383893/detay;2013;125000;Kırmızı;169750;TL;2020-11-01;Antalya;Alanya;Volkswagen;Scirocco
48;VW SCİROCCO - 122lik - HASAR KAYITSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-vw-scirocco-122lik-hasar-kayitsiz-875376014/detay;2012;145000;Kırmızı;150000;TL;2020-11-01;İstanbul;Beykoz;Volkswagen;Scirocco
49;Tertemiz 2016 Allstar 49ooo km + KW V2 COILOVER;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-tertemiz-2016-allstar-49ooo-km-plus-kw-v2-coilover-875245472/detay;2016;49000;Mor;315000;TL;2020-11-01;İstanbul;Küçükçekmece;Volkswagen;Scirocco
50;DEĞİŞENSİZ SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-degisensiz-scirocco-875184535/detay;2010;190000;Beyaz;142500;TL;2020-11-01;Kocaeli;İzmit;Volkswagen;Scirocco
51;DEĞİŞENSİZ KAZASIZ TRAMERSİŹ ORJINAL LİĞİ BOZULMAMIŞ OYNANMAMIŞ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-degisensiz-kazasiz-tramersiz-orjinal-ligi-bozulmamis-oynanmamis-875185229/detay;2012;174000;Beyaz;143000;TL;2020-11-01;Mersin;Yenişehir;Volkswagen;Scirocco
52;ARTKIY NİSSAN'DAN 2013 SCİROCCO 1.4 TSI SPORTLİNE DÜZ VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-artkiy-nissan-dan-2013-scirocco-1.4-tsi-sportline-duz-vites-845620491/detay;2013;62676;Beyaz;165000;TL;2020-11-01;İzmir;Gaziemir;Volkswagen;Scirocco
53;DEĞİŞENSİZ TRAMERSİZ İLGİ ODAĞI;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-degisensiz-tramersiz-ilgi-odagi-875313326/detay;2012;69500;Kırmızı;187000;TL;2020-11-01;Kocaeli;Kartepe;Volkswagen;Scirocco
54;EKE OTOMOTİV DEN SCİROCCO 1.4 TSİ SPORTLİNE;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-eke-otomotiv-den-scirocco-1.4-tsi-sportline-867676359/detay;2011;213000;Beyaz;116750;TL;2020-11-01;Bolu;Merkez;Volkswagen;Scirocco
55;BAŞARSLAN OTOMOTİVDEN SCİROCCO DSG CAM TAVAN 160 HP!!!!;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-basarslan-otomotivden-scirocco-dsg-cam-tavan-160-hp-875302407/detay;2010;150000;Beyaz;127900;TL;2020-11-01;İstanbul;Pendik;Volkswagen;Scirocco
56;SCİROCCO değişensiz tramersiz;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-scirocco-degisensiz-tramersiz-875309029/detay;2013;89000;Beyaz;205000;TL;2020-11-01;Trabzon;Yomra;Volkswagen;Scirocco
57;2013 SPORTLİNE EMSALLERİNİN EN İYİSİ 80 KM;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2013-sportline-emsallerinin-en-iyisi-80-km-867008359/detay;2013;80;Beyaz;175000;TL;2020-11-01;İstanbul;Bahçelievler;Volkswagen;Scirocco
58;BALIKESİR ATMACA OTOMOTİV den 1.4 TSI SCİROCCO 160 HP;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-balikesir-atmaca-otomotiv-den-1.4-tsi-scirocco-160-hp-867639042/detay;2015;71000;Beyaz;238800;TL;2020-11-01;Balıkesir;Altıeylül;Volkswagen;Scirocco
59;SAHİBİNDEN HATASIZ AYARINDA 160LIK DSG SCİROCCO.;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-hatasiz-ayarinda-160lik-dsg-scirocco-874321195/detay;2010;152500;Siyah;154000;TL;2020-11-01;Ankara;Çankaya;Volkswagen;Scirocco
60;Kazasız Tramersiz Scrocco;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-kazasiz-tramersiz-scrocco-873365126/detay;2012;153000;Mavi;169750;TL;2020-11-01;Bursa;Yıldırım;Volkswagen;Scirocco
61;AZRA AUTODAN 2016 ÇIKIŞLI 150LİK BMT;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-azra-autodan-2016-cikisli-150lik-bmt-853629266/detay;2015;69000;Mor;232000;TL;2020-11-01;İstanbul;Avcılar;Volkswagen;Scirocco
62;ERDOĞANLARDAN 2012 MODEL 1.4 TSİ SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-erdoganlardan-2012-model-1.4-tsi-scirocco-865169907/detay;2012;130000;Siyah;146500;TL;2020-11-01;Ankara;Çankaya;Volkswagen;Scirocco
63;SAHİBİNDEN DÜŞÜK KM 1.4Tsi Scirocco;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-dusuk-km-1.4tsi-scirocco-875105112/detay;2009;142000;Beyaz;130000;TL;2020-11-01;Balıkesir;Edremit;Volkswagen;Scirocco
64;2015 HATASIZ 32 BİN KM SCİROCCO R;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2015-hatasiz-32-bin-km-scirocco-r-845433060/detay;2015;32000;Mavi;520000;TL;2020-11-01;Trabzon;Ortahisar;Volkswagen;Scirocco
65;ADS GARAGE-2011 SCİROCCO OTOMATİK TEMİZ LPG'Lİ 60 PEŞİNLE VADELİ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ads-garage-2011-scirocco-otomatik-temiz-lpg-li-yari-pesinle-vade-867306857/detay;2011;210000;Beyaz;120750;TL;2020-11-03;İstanbul;Bağcılar;Volkswagen;Scirocco
66;!!! SAHİBİNDEN 2015 MODEL MAKYAJLI KASA WV SCİROCCO 160HP !!!;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-2015-model-makyajli-kasa-wv-scirocco-160hp-875533153/detay;2015;35000;Beyaz;195500;TL;2020-11-03;İstanbul;Maltepe;Volkswagen;Scirocco
67;AS AUTODAN 2013 MODEL HATASIZ BOYASIZ SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-as-autodan-2013-model-hatasiz-boyasiz-scirocco-875617390/detay;2013;108000;Beyaz;205500;TL;2020-11-03;Samsun;İlkadım;Volkswagen;Scirocco
68;**SAHİBİNDEN DÜŞÜK KİLOMETRELİ İLK GÜN Kİ TEMİZLİKTE;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-dusuk-kilometreli-ilk-gun-ki-temizlikte-822604843/detay;2013;80000;Beyaz;165000;TL;2020-11-02;İstanbul;Bakırköy;Volkswagen;Scirocco
69;2012 SCİROCCO 14 TSI SPORTLİNE full modifiyeli 138 bin km de;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2012-scirocco-14-tsi-sportline-full-modifiyeli-138-bin-km-de-875200852/detay;2012;138000;Beyaz;154900;TL;2020-10-31;İstanbul;Bağcılar;Volkswagen;Scirocco
70;VW SCIROCCO 1.4 TSI R LINE-BAYİ-DSG-CAM TAVAN-Bİ&XE­NON-96.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-vw-scirocco-1.4-tsi-r-line-bayi-dsg-cam-tavan-bi-xenon-96.000-km-847180801/detay;2015;96000;Beyaz;232500;TL;2020-11-02;Ankara;Çankaya;Volkswagen;Scirocco
71;HATASIZ BOYASIZ 2013 SCİROCCO 160'LIK KIRMIZI MERCEK CAM TAVAN;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-2013-scirocco-160-lik-kirmizi-mercek-cam-tavan-875070216/detay;2013;81000;Kırmızı;199000;TL;2020-10-31;Bursa;Yıldırım;Volkswagen;Scirocco
72;AR-AL MOTORS YENİ KASA SCİROCCO DÜŞÜK KM CAM TAVAN+R BODY;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ar-al-motors-yeni-kasa-scirocco-dusuk-km-cam-tavan-plusr-body-867423528/detay;2015;76750;Siyah;197000;TL;2020-10-31;Kocaeli;Darıca;Volkswagen;Scirocco
73;GKN MOTORS'DAN DÜŞÜK KM SCİROCCO/+210HP/HIZ SBTLYCİ/FULL EKSTRLI;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-gkn-motors-dan-dusuk-km-scirocco-plus210hp-hiz-sbtlyci-full-ekstrli-875180289/detay;2013;86350;Mavi;199000;TL;2020-10-31;Van;İpekyolu;Volkswagen;Scirocco
74;G.ALKAN AUTO'DAN HATASIZ BOYASIZ 160 HP CAM TAVAN+TABA DÖŞ. FULL;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-g.alkan-auto-dan-hatasiz-boyasiz-160-hp-cam-tavan-plustaba-dos-full-856358570/detay;2012;160000;Beyaz;182500;TL;2020-10-31;Amasya;Merkez;Volkswagen;Scirocco
75;HATASIZ TRAMERSİZ TRnin EN DOLUSU;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-tramersiz-trnin-en-dolusu-868281830/detay;2012;141000;Kırmızı;172500;TL;2020-10-31;Kırıkkale;Merkez;Volkswagen;Scirocco
76;2013 VW SCIROCCO 1.4 TSI DSG GTS;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2013-vw-scirocco-1.4-tsi-dsg-gts-867693355/detay;2013;60000;Beyaz;202000;TL;2020-11-02;Çanakkale;Yenice;Volkswagen;Scirocco
77;Sahıbınden temız 160lık scırocco satılık;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-temiz-160lik-scirocco-satilik-875173120/detay;2013;123000;Beyaz;184500;TL;2020-10-31;İstanbul;Bağcılar;Volkswagen;Scirocco
78;160'lık DSG Yarı Otomatik;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-160-lik-dsg-yari-otomatik-875564994/detay;2011;175000;Beyaz;159500;TL;2020-11-02;Ankara;Sincan;Volkswagen;Scirocco
79;DOĞU MOTORSDAN SCİROCCO;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-dogu-motorsdan-scirocco-875167860/detay;2012;145000;Beyaz;157500;TL;2020-10-31;İstanbul;Ümraniye;Volkswagen;Scirocco
80;2015 SCİROCCO 1.4 TSI OTOMATİK İÇİ BEJ DÜŞÜK KM 47.000 DE...;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2015-scirocco-1.4-tsi-otomatik-ici-bej-dusuk-km-47.000-de-792719985/detay;2015;47000;Beyaz;325900;TL;2020-10-31;İstanbul;Bağcılar;Volkswagen;Scirocco
81;DEĞİŞENSİZ 2 PARÇA BOYALI;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-degisensiz-2-parca-boyali-875562586/detay;2010;127000;Siyah;131000;TL;2020-11-02;İstanbul;Ümraniye;Volkswagen;Scirocco
82;TR'DE TEK VOLKSWAGEN SCİROCCO 2.0 211 HP DSG HATASZ;https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-tr-de-tek-volkswagen-scirocco-2.0-211-hp-dsg-hatasz-867389625/detay;2009;160000;Beyaz;151000;TL;2020-10-31;İstanbul;Esenyurt;Volkswagen;Scirocco
