caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;BOYASIZ 119 BIN KM FULL TR TEK;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-boyasiz-119-bin-km-full-tr-tek-873050706/detay;2011;119000;Siyah;166000;TL;2020-10-31;Adana;Kozan;Volvo;S40
2;motor sıfır muayene yeni;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-motor-sifir-muayene-yeni-875425255/detay;2001;310000;Gümüş Gri;63000;TL;2020-11-02;Kayseri;Kocasinan;Volvo;S40
3;KENDİNİ GÜVENDE HİSSET VOLVO S 40 AL KURUŞ MASRAFSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-kendini-guvende-hisset-volvo-s-40-al-kurus-masrafsiz-875517845/detay;2001;252000;Lacivert;63500;TL;2020-11-02;İstanbul;Kadıköy;Volvo;S40
4;2011 VOLVO S40;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-2011-volvo-s40-875499797/detay;2011;220000;Siyah;120000;TL;2020-11-02;Antalya;Manavgat;Volvo;S40
5;MS CAR'DAN 1997 VOLVO S40 2.0 140hp OTOMATİK -TAKAS OLUR-;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-ms-car-dan-1997-volvo-s40-2.0-140hp-otomatik-takas-olur-875490362/detay;1997;298000;Siyah;56500;TL;2020-11-02;İstanbul;Ataşehir;Volvo;S40
6;VOLVO S40*2009 MODEL*1.6 DIZEL*PIREMIUM FUL PAKET*SANRUF*DERI KO;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-volvo-s40-2009-model-1.6-dizel-piremium-ful-paket-sanruf-deri-ko-875466135/detay;2009;185850;Gümüş Gri;112850;TL;2020-11-02;Balıkesir;Edremit;Volvo;S40
7;İsveç Tankımız Satistaaaa;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-isvec-tankimiz-satistaaaa-875426066/detay;2001;320000;Beyaz;68500;TL;2020-11-02;Çankırı;Merkez;Volvo;S40
8;acil satilik;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-acil-satilik-875362625/detay;2001;257000;Yeşil;64000;TL;2020-11-02;İstanbul;Sultanbeyli;Volvo;S40
9;169 Binde Tramersiz Aile Aracı;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-169-binde-tramersiz-aile-araci-875325218/detay;2001;169000;Lacivert;75000;TL;2020-11-02;Ankara;Polatlı;Volvo;S40
10;sahibinden volvo S40 clasik;https://www.sahibinden.com/ilan/vasita-otomobil-volvo-sahibinden-volvo-s40-clasik-875395270/detay;2004;323000;Gümüş Gri;69750;TL;2020-11-01;Ankara;Kahramankazan;Volvo;S40
