caption;link;year;km;color;price;price_unit;date;city;district
1;2006 TERTEMİZ ORJİNAL 122.000kmde LPGLİ 1.3 YARİS TERRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2006-tertemiz-orjinal-122.000kmde-lpgli-1.3-yaris-terra-875135496/detay;2006;122000;Siyah;67500;TL;2020-10-31;Kayseri;Talas
2;SAHİBİNDEN TEMİZ AİLE ARABASI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-temiz-aile-arabasi-875132757/detay;2008;205000;Siyah;105000;TL;2020-10-31;Ankara;Mamak
3;LOKAL BOYALİ, SIKİNTİSİZ, 2004 MODEL YARİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-lokal-boyali-sikintisiz-2004-model-yaris-875130610/detay;2004;201000;Gümüş Gri;63000;TL;2020-10-31;Karabük;Safranbolu
4;TR NİN EN UYGUNU LPGLİ MUAYENE YENİ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tr-nin-en-uygunu-lpgli-muayene-yeni-875125571/detay;2011;268000;Siyah;67500;TL;2020-10-31;İstanbul;Sultangazi
5;Sahibinden Toyota Yaris Otomatik;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-toyota-yaris-otomatik-875116588/detay;2007;65000;Kırmızı;105000;TL;2020-10-31;İstanbul;Maltepe
6;Cincik gibi motoru süper hiç lpg takılmamış yaris;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-cincik-gibi-motoru-super-hic-lpg-takilmamis-yaris-875112090/detay;2004;127494;Mavi;83500;TL;2020-10-31;Isparta;Merkez
7;FIRSAT ARACI//2012 MODEL KAZASIZ DİZEL TOYOTA YARİS 165 bin KM;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-firsat-araci-2012-model-kazasiz-dizel-toyota-yaris-165-bin-km-870614243/detay;2012;165000;Beyaz;105000;TL;2020-10-31;Kütahya;Merkez
8;2015 MODEL TOYOTA YARİS 1.0 LİFE BENZİN MANUEL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2015-model-toyota-yaris-1.0-life-benzin-manuel-875112346/detay;2015;45050;Kırmızı;112000;TL;2020-10-31;İzmir;Gaziemir
9;TOYOTA YARİS 1.33 TERRA SPORTY OTOMATIK SADECE 60 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-yaris-1.33-terra-sporty-otomatik-sadece-60-binde-875112661/detay;2011;60000;Gri;120700;TL;2020-10-31;İstanbul;Maltepe
10;Sahibinden değişensiz 2010 Toyota Yaris;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-degisensiz-2010-toyota-yaris-875085442/detay;2010;186000;Bej;97500;TL;2020-10-31;Ordu;Fatsa
11;!!! Pazarlıksız!!! 7 ileri tam otomatik ümran expertiz garantili;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-pazarliksiz-7-ileri-tam-otomatik-863340248/detay;2012;105000;Kırmızı;105500;TL;2020-10-31;İstanbul;Sancaktepe
12;2017 Yaris 1.33 fun special 37.000km HATASIZ BOYASIZ TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2017-yaris-1.33-fun-special-37.000km-hatasiz-boyasiz-tramersiz-875095374/detay;2017;38000;Beyaz;151750;TL;2020-10-31;Eskişehir;Odunpazarı
13;2007 MODEL BOYASIZ TOYOTA YARİS 1.4 DİZEL EMSALSİZ TERTEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2007-model-boyasiz-toyota-yaris-1.4-dizel-emsalsiz-tertemiz-875096314/detay;2007;187750;Gri;87750;TL;2020-10-31;Antalya;Kepez
14;ÖZDEMİRLER KIA VE SUZUKI BAYİ'den OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ozdemirler-kia-ve-suzuki-bayi-den-otomatik-875089616/detay;2011;83000;Gri;118000;TL;2020-10-31;İzmir;Bornova
15;TAM OTOMATİK - ORJİNAL 30.000KM - HATASIZ - EN FULL MODELİ COOL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tam-otomatik-orjinal-30.000km-hatasiz-en-full-modeli-cool-875086248/detay;2013;30000;Gümüş Gri;144950;TL;2020-10-31;Ankara;Akyurt
16;DÜŞÜK KILOMETRELi YARIS KM 49.800 OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-dusuk-kilometreli-yaris-km-49.800-otomatik-875082632/detay;2010;49800;Gri;110000;TL;2020-10-31;İstanbul;Beşiktaş
17;***PRESTİGE AUTO'DAN*** DÜŞÜK KM TOYOTA YARIS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-prestige-auto-dan-dusuk-km-toyota-yaris-874912013/detay;2007;137000;Mavi;79500;TL;2020-10-31;Hatay;Samandağ
