caption;link;year;km;color;price;price_unit;date;city;district
1;EMRON_DAN_2017 MODEL_SERVİS BAKIMLI GARANTİLİ_ELİT_PLUS_;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-emron_dan_2017-model_servis-bakimli-garantili_elit_plus-874358818/detay;2017;93000;Gri;198950;TL;2020-10-27;İstanbul;Kadıköy
2;MELLON'DAN 2014 MODEL 1.6CRDI OTOMATİK ELENTRA ELİTE SUNROOF;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-mellon-dan-2014-model-1.6crdi-otomatik-elentra-elite-sunroof-871240198/detay;2014;123121;Beyaz;158750;TL;2020-10-26;İstanbul;Üsküdar
3;2012 Hatasız Elantra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2012-hatasiz-elantra-874902762/detay;2012;134850;Lacivert;143000;TL;2020-10-30;İzmir;Aliağa
4;BOYASIZ * HATASIZ * OTOMATİK 2016 Elentra 1.6 CRDİ ELİTE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-boyasiz-hatasiz-otomatik-2016-elentra-1.6-crdi-elite-866888480/detay;2016;98000;Beyaz;196000;TL;2020-10-30;Balıkesir;Gönen
5;2019 HYUNDAİ ELENTRA 1.6 MPİ STYLE 9 BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2019-hyundai-elentra-1.6-mpi-style-9-bin-km-874895488/detay;2019;9000;Beyaz;182000;TL;2020-10-30;İstanbul;Büyükçekmece
6;DAHA TEMİZİ BAYİDE BİLE YOK ELENTRA 2014 DIZEL 1.6;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-daha-temizi-bayide-bile-yok-elentra-2014-dizel-1.6-865228347/detay;2014;166000;Beyaz;145000;TL;2020-10-30;Amasya;Merkez
7;SÖNMEZLERden HYUNDAI ELANTRA 1.6 STYLE MANUEL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sonmezlerden-hyundai-elantra-1.6-style-manuel-866878823/detay;2016;48350;Gri;162000;TL;2020-10-30;Çanakkale;Merkez
8;ORJİNAL HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-orjinal-hatasiz-837048812/detay;2013;84000;Beyaz;148750;TL;2020-10-30;Gaziantep;Şehitkamil
9;Hyundai Elantra temiz,az kilometre ,Ekspertiz raporu Mevcuttur.;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-elantra-temiz%2Caz-kilometre-ekspertiz-raporu-mevcuttur-854464557/detay;2004;142000;Siyah;74000;TL;2020-10-29;Yalova;Merkez
10;Sahibinden değişensiz boyasız;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-degisensiz-boyasiz-874812771/detay;2016;115000;Gri;175000;TL;2020-10-29;Ankara;Etimesgut
